,,,,,,,Playing Time,,,,Performance,,,,,,,,Expected,,,,Progression,,,Per 90 Minutes,,,,,,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
210,Darko Gyabi,eng ENG,FW,Leeds United,19-068,2004,1,0,8,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,2,0,0.00,0.00,0.00,0.00,0.00,0.72,0.00,0.72,0.72,0.72,Matches,56d838f7
211,Erling Haaland,no NOR,FW,Manchester City,22-280,2000,29,28,2315,25.7,33,7,40,27,6,6,5,0,24.0,19.5,4.3,23.8,28,49,129,1.28,0.27,1.56,1.05,1.32,0.93,0.17,1.10,0.76,0.93,Matches,1f44ac21
212,Lewis Hall,eng ENG,DFMF,Chelsea,18-231,2004,5,4,304,3.4,0,0,0,0,0,0,1,0,0.5,0.5,0.3,0.7,10,9,19,0.00,0.00,0.00,0.00,0.00,0.14,0.08,0.22,0.14,0.22,Matches,da011f18
213,Luke Harris,wls WAL,MFFW,Fulham,18-024,2005,3,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,8c3078cd
214,Jack Harrison,eng ENG,FWMF,Leeds United,26-158,1996,31,29,2342,26.0,4,7,11,4,0,0,2,0,4.3,4.3,4.7,9.0,89,85,221,0.15,0.27,0.42,0.15,0.42,0.17,0.18,0.35,0.17,0.35,Matches,aa849a12
215,Kai Havertz,de GER,FWMF,Chelsea,23-320,1999,29,26,2218,24.6,7,1,8,6,1,1,4,0,10.4,9.6,3.4,13.0,50,73,190,0.28,0.04,0.32,0.24,0.28,0.42,0.14,0.56,0.39,0.53,Matches,fed7cb61
216,Jan Paul van Hecke,nl NED,DF,Brighton,22-323,2000,4,1,87,1.0,0,0,0,0,0,0,0,0,0.6,0.6,0.0,0.6,3,10,0,0.00,0.00,0.00,0.00,0.00,0.61,0.00,0.61,0.61,0.61,Matches,4fd08daa
217,Hwang Hee-chan,kr KOR,FWMF,Wolves,27-091,1996,22,10,878,9.8,2,1,3,2,0,0,1,0,1.7,1.7,1.0,2.7,19,23,45,0.21,0.10,0.31,0.21,0.31,0.17,0.11,0.28,0.17,0.28,Matches,169fd162
218,Dean Henderson,eng ENG,GK,Nott'ham Forest,26-046,1997,18,18,1620,18.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,e5a76dfe
219,Jordan Henderson,eng ENG,MF,Liverpool,32-314,1990,29,20,1760,19.6,0,2,2,0,0,0,2,0,1.2,1.2,2.7,3.9,28,158,64,0.00,0.10,0.10,0.00,0.10,0.06,0.14,0.20,0.06,0.20,Matches,935e6b8f
220,Wayne Hennessey,wls WAL,GK,Nott'ham Forest,36-093,1987,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,76eca7e2
221,Rico Henry,eng ENG,DF,Brentford,25-293,1997,32,32,2838,31.5,0,2,2,0,0,0,1,0,1.5,1.5,2.5,3.9,42,93,98,0.00,0.06,0.06,0.00,0.06,0.05,0.08,0.12,0.05,0.12,Matches,8a3c1dc7
222,Son Heung-min,kr KOR,MFFW,Tottenham,30-293,1992,30,27,2369,26.3,8,4,12,8,0,0,1,0,7.3,7.3,5.4,12.7,71,67,163,0.30,0.15,0.46,0.30,0.46,0.28,0.20,0.48,0.28,0.48,Matches,92e7e919
223,Aaron Hickey,sct SCO,DF,Brentford,20-321,2002,21,18,1498,16.6,0,0,0,0,0,0,6,0,0.3,0.3,0.2,0.5,30,63,36,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Matches,1780bb4a
224,Joseph Hodge,ie IRL,MF,Wolves,20-225,2002,5,1,169,1.9,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,1,7,4,0.00,0.00,0.00,0.00,0.00,0.06,0.03,0.09,0.06,0.09,Matches,bd8a5d95
225,Rob Holding,eng ENG,DF,Arsenal,27-219,1995,13,6,560,6.2,1,0,1,1,0,0,0,0,0.3,0.3,0.0,0.3,3,24,2,0.16,0.00,0.16,0.16,0.16,0.05,0.00,0.05,0.05,0.05,Matches,d79a8c87
226,Mason Holgate,eng ENG,DF,Everton,26-187,1996,6,4,444,4.9,0,0,0,0,0,0,3,1,0.3,0.3,0.3,0.6,4,12,4,0.00,0.00,0.00,0.00,0.00,0.06,0.07,0.13,0.06,0.13,Matches,d0042ab9
227,Will Hughes,eng ENG,MF,Crystal Palace,28-010,1995,23,4,570,6.3,0,1,1,0,0,0,4,0,0.2,0.2,0.9,1.1,9,22,15,0.00,0.16,0.16,0.00,0.16,0.03,0.14,0.17,0.03,0.17,Matches,a0666d3e
228,Omari Hutchinson,eng ENG,FW,Chelsea,19-179,2003,1,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,bd9553e6
229,Pierre Højbjerg,dk DEN,MF,Tottenham,27-265,1995,31,31,2771,30.8,4,5,9,4,0,0,4,0,1.7,1.7,2.7,4.4,39,219,62,0.13,0.16,0.29,0.13,0.29,0.05,0.09,0.14,0.05,0.14,Matches,8b04d6c1
230,Kelechi Iheanacho,ng NGA,FWMF,Leicester City,26-206,1996,26,9,1006,11.2,5,4,9,4,1,1,0,0,7.0,6.2,3.5,9.7,31,24,90,0.45,0.36,0.81,0.36,0.72,0.62,0.32,0.94,0.55,0.87,Matches,c92e1a31
231,Danny Ings,eng ENG,FW,West Ham,30-278,1992,12,5,529,5.9,2,0,2,2,0,0,0,0,2.2,2.2,0.2,2.4,7,6,23,0.34,0.00,0.34,0.34,0.34,0.37,0.04,0.41,0.37,0.41,Matches,07802f7f
232,Danny Ings,eng ENG,FW,Aston Villa,30-278,1992,18,8,824,9.2,6,0,6,4,2,2,3,0,5.3,3.8,1.2,5.0,15,12,46,0.66,0.00,0.66,0.44,0.44,0.59,0.13,0.71,0.41,0.54,Matches,07802f7f
233,Alexander Isak,se SWE,FW,Newcastle Utd,23-218,1999,15,11,970,10.8,10,0,10,8,2,2,2,0,7.1,5.6,0.9,6.5,18,20,76,0.93,0.00,0.93,0.74,0.74,0.66,0.08,0.75,0.52,0.60,Matches,8e92be30
234,Daniel Iversen,dk DEN,GK,Leicester City,25-282,1997,7,7,630,7.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,10d221cd
235,Alex Iwobi,ng NGA,MFFW,Everton,26-359,1996,32,32,2838,31.5,1,6,7,1,0,0,2,0,2.0,2.0,4.5,6.5,65,165,117,0.03,0.19,0.22,0.03,0.22,0.06,0.14,0.21,0.06,0.21,Matches,6ca5ec4b
236,Daniel James,wls WAL,FW,Leeds United,25-168,1997,4,2,198,2.2,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.6,6,3,9,0.00,0.00,0.00,0.00,0.00,0.12,0.15,0.27,0.12,0.27,Matches,c931d9f9
237,Daniel James,wls WAL,FW,Fulham,25-168,1997,17,5,583,6.5,2,1,3,2,0,0,0,0,1.7,1.7,0.6,2.3,22,15,43,0.31,0.15,0.46,0.31,0.46,0.26,0.10,0.36,0.26,0.36,Matches,c931d9f9
238,Reece James,eng ENG,DFMF,Chelsea,23-140,1999,16,14,1244,13.8,1,1,2,1,0,0,4,0,1.0,1.0,3.0,4.0,52,90,115,0.07,0.07,0.14,0.07,0.14,0.07,0.22,0.29,0.07,0.29,Matches,1265a93a
239,Vitaly Janelt,de GER,MFDF,Brentford,24-352,1998,30,19,1788,19.9,3,1,4,3,0,0,2,0,2.2,2.2,1.2,3.4,12,67,24,0.15,0.05,0.20,0.15,0.20,0.11,0.06,0.17,0.11,0.17,Matches,8449d35e
240,Pontus Jansson,se SWE,DF,Brentford,32-073,1991,12,9,724,8.0,1,0,1,1,0,0,0,0,0.3,0.3,0.0,0.3,1,14,0,0.12,0.00,0.12,0.12,0.12,0.04,0.00,0.04,0.04,0.04,Matches,172e52d8
241,Mathias Jensen,dk DEN,MF,Brentford,27-116,1996,33,33,2512,27.9,5,5,10,5,0,0,5,0,2.1,2.1,4.2,6.3,21,116,71,0.18,0.18,0.36,0.18,0.36,0.07,0.15,0.23,0.07,0.23,Matches,0f134faf
242,Gabriel Jesus,br BRA,FW,Arsenal,26-024,1997,21,19,1632,18.1,9,5,14,8,1,1,5,0,12.9,12.1,3.0,15.1,36,48,151,0.50,0.28,0.77,0.44,0.72,0.71,0.16,0.87,0.67,0.83,Matches,b66315ae
243,Raúl Jiménez,mx MEX,FW,Wolves,31-357,1991,13,7,743,8.3,0,1,1,0,0,0,0,0,2.6,2.6,1.7,4.3,5,13,44,0.00,0.12,0.12,0.00,0.12,0.31,0.21,0.52,0.31,0.52,Matches,b561db50
244,Joelinton,br BRA,MFFW,Newcastle Utd,26-256,1996,27,25,2222,24.7,5,1,6,5,0,0,11,0,6.4,6.4,1.9,8.3,52,106,128,0.20,0.04,0.24,0.20,0.24,0.26,0.08,0.34,0.26,0.34,Matches,c17bfb65
245,Ben Johnson,eng ENG,DF,West Ham,23-093,2000,13,8,744,8.3,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.3,12,36,17,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Matches,9319781b
246,Brennan Johnson,wls WAL,FWMF,Nott'ham Forest,21-339,2001,33,30,2677,29.7,8,2,10,7,1,3,6,0,8.5,6.1,3.1,9.2,82,30,147,0.27,0.07,0.34,0.24,0.30,0.29,0.10,0.39,0.21,0.31,Matches,0cd31129
247,Sam Johnstone,eng ENG,GK,Crystal Palace,30-033,1993,4,4,360,4.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,9e5708be
248,Curtis Jones,eng ENG,MF,Liverpool,22-087,2001,12,6,585,6.5,0,1,1,0,0,0,2,0,0.3,0.3,0.9,1.2,21,42,41,0.00,0.15,0.15,0.00,0.15,0.05,0.13,0.18,0.05,0.18,Matches,4fb9c88f
249,Jorginho,it ITA,MF,Arsenal,31-128,1991,9,4,441,4.9,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.3,9,62,7,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.05,0.02,0.05,Matches,45db685d
250,Jorginho,it ITA,MF,Chelsea,31-128,1991,18,15,1279,14.2,2,0,2,0,2,2,4,0,1.7,0.1,0.4,0.5,13,80,10,0.14,0.00,0.14,0.00,0.00,0.12,0.03,0.14,0.01,0.03,Matches,45db685d
251,Mateo Joseph,eng ENG,FWMF,Leeds United,19-190,2003,3,0,26,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,2,0.00,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.40,0.40,Matches,6ad43f9a
252,Diogo Jota,pt POR,FW,Liverpool,26-144,1996,16,10,888,9.9,4,4,8,4,0,0,1,0,5.0,5.0,2.0,7.0,26,25,81,0.41,0.41,0.81,0.41,0.81,0.51,0.20,0.71,0.51,0.71,Matches,178ae8f8
253,Hamed Junior Traorè,ci CIV,FWMF,Bournemouth,23-070,2000,7,5,427,4.7,0,0,0,0,0,0,0,0,0.9,0.9,1.1,2.1,19,26,21,0.00,0.00,0.00,0.00,0.00,0.19,0.24,0.43,0.19,0.43,Matches,570bb4b9
254,James Justin,eng ENG,DF,Leicester City,25-063,1998,14,14,1252,13.9,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.6,20,47,50,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.05,0.02,0.05,Matches,fb614c44
255,Mathias Jørgensen,dk DEN,DF,Brentford,33-004,1990,15,9,910,10.1,0,0,0,0,0,0,1,0,0.8,0.8,0.1,0.9,1,29,1,0.00,0.00,0.00,0.00,0.00,0.08,0.01,0.09,0.08,0.09,Matches,0db5d2c8
256,Sasa Kalajdzic,at AUT,FW,Wolves,25-294,1997,1,1,45,0.5,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,0,0,1,0.00,0.00,0.00,0.00,0.00,0.53,0.00,0.53,0.53,0.53,Matches,15f24fe7
257,Boubacar Kamara,fr FRA,MF,Aston Villa,23-155,1999,20,19,1569,17.4,0,1,1,0,0,0,4,0,0.2,0.2,0.8,1.0,14,80,8,0.00,0.06,0.06,0.00,0.06,0.01,0.05,0.06,0.01,0.06,Matches,cc77354e
258,Harry Kane,eng ENG,FW,Tottenham,29-273,1993,32,32,2865,31.8,24,2,26,20,4,5,5,0,18.4,14.4,4.8,19.2,53,147,173,0.75,0.06,0.82,0.63,0.69,0.58,0.15,0.73,0.45,0.60,Matches,21a66f6a
259,N'Golo Kanté,fr FRA,MF,Chelsea,32-029,1991,5,4,366,4.1,0,0,0,0,0,0,0,0,0.3,0.3,1.4,1.7,15,24,27,0.00,0.00,0.00,0.00,0.00,0.07,0.34,0.41,0.07,0.41,Matches,b9fbae28
260,Michael Keane,eng ENG,DF,Everton,30-106,1993,9,8,743,8.3,1,1,2,1,0,0,0,0,0.9,0.9,0.3,1.2,1,17,1,0.12,0.12,0.24,0.12,0.24,0.11,0.03,0.15,0.11,0.15,Matches,c5b7c315
261,Neeskens Kebano,cd COD,FW,Fulham,31-048,1992,14,9,722,8.0,0,3,3,0,0,0,0,0,0.5,0.5,1.4,1.8,37,22,65,0.00,0.37,0.37,0.00,0.37,0.06,0.17,0.23,0.06,0.23,Matches,18b999f4
262,Thilo Kehrer,de GER,DF,West Ham,26-218,1996,23,22,1915,21.3,0,2,2,0,0,0,4,0,0.4,0.4,0.6,1.0,15,53,28,0.00,0.09,0.09,0.00,0.09,0.02,0.03,0.05,0.02,0.05,Matches,51dbeea9
263,Naby Keïta,gn GUI,MF,Liverpool,28-076,1995,8,3,293,3.3,0,0,0,0,0,0,1,0,0.6,0.6,0.7,1.4,5,15,21,0.00,0.00,0.00,0.00,0.00,0.20,0.22,0.41,0.20,0.41,Matches,f25c8e3a
264,Lloyd Kelly,eng ENG,DF,Bournemouth,24-203,1998,17,17,1500,16.7,0,2,2,0,0,0,3,0,0.2,0.2,0.2,0.4,8,31,3,0.00,0.12,0.12,0.00,0.12,0.01,0.01,0.03,0.01,0.03,Matches,f31def1e
265,Max Kilman,eng ENG,DF,Wolves,25-339,1997,33,33,2970,33.0,0,0,0,0,0,0,3,0,1.2,1.2,0.1,1.3,27,118,4,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches,d0f72bf1
266,Jakub Kiwior,pl POL,DF,Arsenal,23-071,2000,2,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,dc3e663e
267,Mateusz Klich,pl POL,MFFW,Leeds United,32-318,1990,14,0,280,3.1,0,0,0,0,0,0,2,0,0.2,0.2,0.2,0.4,5,16,21,0.00,0.00,0.00,0.00,0.00,0.05,0.06,0.12,0.05,0.12,Matches,282679b4
268,Robin Koch,de GER,DF,Leeds United,26-284,1996,32,32,2815,31.3,0,0,0,0,0,0,6,0,0.9,0.9,0.1,1.1,10,95,5,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches,ea6bc03a
269,Ibrahima Konaté,fr FRA,DF,Liverpool,23-337,1999,13,12,1102,12.2,0,0,0,0,0,0,1,0,1.1,1.1,0.1,1.2,7,42,4,0.00,0.00,0.00,0.00,0.00,0.09,0.01,0.10,0.09,0.10,Matches,5ed9b537
270,Ezri Konsa,eng ENG,DF,Aston Villa,25-186,1997,33,32,2872,31.9,0,0,0,0,0,0,5,0,1.1,1.1,1.3,2.3,7,46,10,0.00,0.00,0.00,0.00,0.00,0.03,0.04,0.07,0.03,0.07,Matches,0313a347
271,Kalidou Koulibaly,sn SEN,DF,Chelsea,31-311,1991,22,20,1790,19.9,2,1,3,2,0,0,7,1,0.9,0.9,0.4,1.4,10,81,4,0.10,0.05,0.15,0.10,0.15,0.05,0.02,0.07,0.05,0.07,Matches,da974c7b
272,Cheikhou Kouyaté,sn SEN,MF,Nott'ham Forest,33-127,1989,16,10,793,8.8,1,0,1,1,0,0,3,0,0.4,0.4,0.7,1.0,6,18,12,0.11,0.00,0.11,0.11,0.11,0.04,0.08,0.12,0.04,0.12,Matches,8d3c902d
273,Mateo Kovačić,hr CRO,MF,Chelsea,28-356,1994,24,15,1552,17.2,1,1,2,1,0,0,7,0,1.8,1.8,1.9,3.7,34,146,29,0.06,0.06,0.12,0.06,0.12,0.10,0.11,0.21,0.10,0.21,Matches,79c0821a
274,Emil Krafth,se SWE,DF,Newcastle Utd,28-268,1994,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,77cf6852
275,Dejan Kulusevski,se SWE,MFFW,Tottenham,23-002,2000,24,20,1791,19.9,2,6,8,2,0,0,2,0,2.1,2.1,4.0,6.1,76,57,173,0.10,0.30,0.40,0.10,0.40,0.10,0.20,0.31,0.10,0.31,Matches,df3cda47
276,Layvin Kurzawa,fr FRA,DF,Fulham,30-235,1992,3,2,135,1.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,2,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,41e7ef1c
277,Adam Lallana,eng ENG,MFFW,Brighton,34-352,1988,16,12,722,8.0,2,1,3,2,0,0,0,0,0.9,0.9,1.0,1.9,10,33,43,0.25,0.12,0.37,0.25,0.37,0.11,0.12,0.23,0.11,0.23,Matches,99813635
278,Tariq Lamptey,gh GHA,DF,Brighton,22-209,2000,20,3,453,5.0,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.4,28,26,58,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.08,0.04,0.08,Matches,f4e433d4
279,Manuel Lanzini,ar ARG,MFFW,West Ham,30-071,1993,7,1,150,1.7,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,14,4,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches,26f6dca8
280,Aymeric Laporte,es ESP,DF,Manchester City,28-335,1994,8,7,646,7.2,0,0,0,0,0,0,0,0,0.4,0.4,0.2,0.6,21,59,10,0.00,0.00,0.00,0.00,0.00,0.05,0.03,0.08,0.05,0.08,Matches,119b9a8e
281,Juan Larios,es ESP,DF,Southampton,19-105,2004,5,2,152,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,10,4,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,cf7fb13a
282,Jamaal Lascelles,eng ENG,DF,Newcastle Utd,29-167,1993,7,2,218,2.4,0,0,0,0,0,0,4,0,0.1,0.1,0.0,0.1,0,3,0,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches,450ab6fc
283,Roméo Lavia,be BEL,MF,Southampton,19-111,2004,23,20,1716,19.1,1,0,1,1,0,0,7,0,0.3,0.3,0.5,0.8,17,84,12,0.05,0.00,0.05,0.05,0.05,0.02,0.02,0.04,0.02,0.04,Matches,ecad9aa5
284,Dexter Lembikisa,jm JAM,DF,Wolves,19-174,2003,1,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,3,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,0bdda685
285,Mario Lemina,ga GAB,MF,Wolves,29-238,1993,14,13,938,10.4,0,1,1,0,0,0,4,1,0.3,0.3,0.3,0.6,4,34,8,0.00,0.10,0.10,0.00,0.10,0.03,0.03,0.05,0.03,0.05,Matches,2b471f99
286,Clément Lenglet,fr FRA,DF,Tottenham,27-314,1995,21,19,1572,17.5,0,2,2,0,0,0,3,0,0.8,0.8,0.6,1.5,23,67,7,0.00,0.11,0.11,0.00,0.11,0.05,0.04,0.08,0.05,0.08,Matches,4f28a6ff
287,Bernd Leno,de GER,GK,Fulham,31-054,1992,30,30,2700,30.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2628fd2b
288,Jefferson Lerma,co COL,MF,Bournemouth,28-184,1994,31,31,2712,30.1,3,0,3,3,0,0,5,0,2.2,2.2,1.7,3.9,20,119,23,0.10,0.00,0.10,0.10,0.10,0.07,0.06,0.13,0.07,0.13,Matches,9b5ce51a
289,Jamal Lewis,nir NIR,DF,Newcastle Utd,25-092,1998,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,efb9215a
290,Rico Lewis,eng ENG,DFMF,Manchester City,18-157,2004,10,6,543,6.0,0,0,0,0,0,0,1,0,0.1,0.1,0.8,0.9,18,31,14,0.00,0.00,0.00,0.00,0.00,0.02,0.14,0.16,0.02,0.16,Matches,b57e066e
291,Keane Lewis-Potter,eng ENG,FWMF,Brentford,22-064,2001,10,3,321,3.6,0,1,1,0,0,0,0,0,0.5,0.5,1.2,1.7,8,6,39,0.00,0.28,0.28,0.00,0.28,0.14,0.35,0.49,0.14,0.49,Matches,41f08ac8
292,Victor Lindelöf,se SWE,DF,Manchester Utd,28-284,1994,12,6,645,7.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,19,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches,f5deef4c
293,Jesse Lingard,eng ENG,FWMF,Nott'ham Forest,30-133,1992,17,12,923,10.3,0,0,0,0,0,0,1,0,1.0,1.0,0.7,1.7,11,33,38,0.00,0.00,0.00,0.00,0.00,0.10,0.07,0.17,0.10,0.17,Matches,810e3c74
294,Diego Llorente,es ESP,DF,Leeds United,29-254,1993,8,7,649,7.2,0,0,0,0,0,0,1,0,0.7,0.7,0.0,0.7,2,27,1,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.10,0.10,0.10,Matches,bba30585
295,Hugo Lloris,fr FRA,GK,Tottenham,36-122,1986,25,25,2205,24.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,8f62b6ee
296,Renan Lodi,br BRA,DF,Nott'ham Forest,25-019,1998,23,21,1819,20.2,0,0,0,0,0,0,5,0,0.8,0.8,0.6,1.4,23,27,61,0.00,0.00,0.00,0.00,0.00,0.04,0.03,0.07,0.04,0.07,Matches,ed9f7cfe
297,Ruben Loftus-Cheek,eng ENG,MFDF,Chelsea,27-094,1996,20,17,1314,14.6,0,0,0,0,0,0,1,0,0.8,0.8,1.3,2.2,44,73,78,0.00,0.00,0.00,0.00,0.00,0.06,0.09,0.15,0.06,0.15,Matches,e97fd090
298,Sean Longstaff,eng ENG,MF,Newcastle Utd,25-179,1997,31,26,2355,26.2,1,4,5,1,0,0,2,0,3.4,3.4,3.2,6.5,21,111,103,0.04,0.15,0.19,0.04,0.19,0.13,0.12,0.25,0.13,0.25,Matches,a2b105e0
299,Jamal Lowe,jm JAM,MFFW,Bournemouth,28-280,1994,2,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,b2856bc0
300,Douglas Luiz,br BRA,MF,Aston Villa,24-353,1998,32,28,2486,27.6,4,5,9,4,0,0,5,1,2.4,2.4,3.2,5.7,40,127,29,0.14,0.18,0.33,0.14,0.33,0.09,0.12,0.20,0.09,0.20,Matches,6f7d826d
301,Saša Lukić,rs SRB,MF,Fulham,26-257,1996,7,2,234,2.6,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,5,9,5,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches,c6e8cf1f
302,Lyanco,br BRA,DF,Southampton,26-085,1997,15,7,743,8.3,0,0,0,0,0,0,4,0,0.3,0.3,0.1,0.3,5,21,2,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04,Matches,b5bf1770
303,Alexis Mac Allister,ar ARG,MF,Brighton,24-124,1998,27,26,2336,26.0,8,1,9,3,5,5,7,0,9.8,5.9,2.8,8.7,48,136,61,0.31,0.04,0.35,0.12,0.15,0.38,0.11,0.49,0.23,0.34,Matches,83d074ff
304,James Maddison,eng ENG,MFFW,Leicester City,26-155,1996,25,24,2075,23.1,9,7,16,9,0,0,8,0,5.6,5.6,7.8,13.4,56,133,125,0.39,0.30,0.69,0.39,0.69,0.24,0.34,0.58,0.24,0.58,Matches,ee38d9c5
305,Noni Madueke,eng ENG,FWDF,Chelsea,21-048,2002,6,2,228,2.5,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.6,12,11,34,0.00,0.00,0.00,0.00,0.00,0.12,0.10,0.22,0.12,0.22,Matches,bf34eebd
306,Harry Maguire,eng ENG,DF,Manchester Utd,30-053,1993,13,7,662,7.4,0,0,0,0,0,0,4,0,0.3,0.3,0.0,0.4,8,24,4,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.05,0.04,0.05,Matches,d8931174
307,Riyad Mahrez,dz ALG,FWMF,Manchester City,32-065,1991,23,15,1315,14.6,5,5,10,4,1,1,2,0,5.2,4.4,4.9,9.2,57,60,179,0.34,0.34,0.68,0.27,0.62,0.35,0.33,0.69,0.30,0.63,Matches,892d5bb1
308,Kobbie Mainoo,eng ENG,MF,Manchester Utd,18-008,2005,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,c6220452
309,Ainsley Maitland-Niles,eng ENG,DFMF,Southampton,25-241,1997,18,11,1160,12.9,0,0,0,0,0,0,3,0,0.0,0.0,0.6,0.6,11,45,21,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.05,Matches,e3a5814e
310,Tyrell Malacia,nl NED,DF,Manchester Utd,23-253,1999,17,11,1064,11.8,0,0,0,0,0,0,3,0,0.2,0.2,0.3,0.6,18,30,26,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.05,0.02,0.05,Matches,6b6c793c
311,Orel Mangala,be BEL,MF,Nott'ham Forest,25-040,1998,22,15,1129,12.5,1,0,1,1,0,0,3,0,0.6,0.6,0.1,0.7,12,32,7,0.08,0.00,0.08,0.08,0.08,0.05,0.01,0.05,0.05,0.05,Matches,a572e291
312,Javier Manquillo,es ESP,DF,Newcastle Utd,28-357,1994,3,0,36,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,4,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,758dd7f0
