,,,,,,,Playing Time,,,,Performance,,,,,,,,Expected,,,,Progression,,,Per 90 Minutes,,,,,,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
135,Moussa Djenepo,ml MLI,DFFW,Southampton,24-316,1998,14,6,629,7.0,0,2,2,0,0,0,0,0,0.2,0.2,0.5,0.7,25,17,36,0.00,0.29,0.29,0.00,0.29,0.02,0.07,0.09,0.02,0.09,Matches,254147d4
136,Ben Doak,sct SCO,FW,Liverpool,17-167,2005,2,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,733f1a7d
137,Matt Doherty,ie IRL,DFMF,Tottenham,31-101,1992,12,7,667,7.4,1,0,1,1,0,0,0,0,0.8,0.8,0.3,1.0,16,20,57,0.13,0.00,0.13,0.13,0.13,0.10,0.04,0.14,0.10,0.14,Matches,d557d734
138,Gabriel Dos Santos,br BRA,DF,Arsenal,25-129,1997,33,33,2965,32.9,3,0,3,3,0,0,4,0,4.6,4.6,0.2,4.8,17,143,14,0.09,0.00,0.09,0.09,0.09,0.14,0.01,0.15,0.14,0.15,Matches,67ac5bb8
139,Abdoulaye Doucouré,ml MLI,MF,Everton,30-116,1993,19,11,993,11.0,2,2,4,2,0,0,5,1,1.5,1.5,1.3,2.8,16,31,36,0.18,0.18,0.36,0.18,0.36,0.14,0.12,0.25,0.14,0.25,Matches,02b29014
140,Cheick Doucouré,ml MLI,MF,Crystal Palace,23-109,2000,29,29,2353,26.1,0,3,3,0,0,0,10,1,1.2,1.2,1.8,3.0,13,117,13,0.00,0.11,0.11,0.00,0.11,0.04,0.07,0.11,0.04,0.11,Matches,ce4f40c7
141,Flynn Downes,eng ENG,MF,West Ham,24-097,1999,17,4,496,5.5,0,0,0,0,0,0,1,0,0.4,0.4,0.0,0.5,2,13,10,0.00,0.00,0.00,0.00,0.00,0.08,0.01,0.09,0.08,0.09,Matches,69fdb896
142,Cody Drameh,eng ENG,DF,Leeds United,21-140,2001,1,1,69,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,e0d1510a
143,Martin Dúbravka,sk SVK,GK,Newcastle Utd,34-102,1989,1,0,67,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,3a949a25
144,Shane Duffy,ie IRL,FWDF,Fulham,31-116,1992,4,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,7314bba4
145,Lewis Dunk,eng ENG,DF,Brighton,31-157,1991,30,30,2699,30.0,1,0,1,1,0,0,2,0,1.6,1.6,0.7,2.4,15,125,2,0.03,0.00,0.03,0.03,0.03,0.05,0.02,0.08,0.05,0.08,Matches,282f75f3
146,Jhon Durán,co COL,FW,Aston Villa,19-135,2003,8,0,84,0.9,0,0,0,0,0,0,1,0,0.6,0.6,0.0,0.6,2,3,10,0.00,0.00,0.00,0.00,0.00,0.59,0.00,0.59,0.59,0.59,Matches,414184f7
147,Malcolm Ebiowei,eng ENG,MFFW,Crystal Palace,19-235,2003,3,0,34,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,2,9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,fa9fa773
148,Ederson,br BRA,GK,Manchester City,29-253,1993,31,31,2790,31.0,0,1,1,0,0,0,2,0,0.0,0.0,0.2,0.2,0,0,0,0.00,0.03,0.03,0.00,0.03,0.00,0.01,0.01,0.00,0.01,Matches,3bb7b8b4
149,Odsonne Édouard,fr FRA,FW,Crystal Palace,25-101,1998,30,18,1604,17.8,4,2,6,4,0,0,3,0,3.8,3.8,1.1,4.9,25,32,90,0.22,0.11,0.34,0.22,0.34,0.21,0.06,0.28,0.21,0.28,Matches,0562b7f1
150,Samuel Edozie,eng ENG,FWMF,Southampton,20-089,2003,16,5,552,6.1,0,0,0,0,0,0,0,0,0.9,0.9,0.3,1.2,23,12,37,0.00,0.00,0.00,0.00,0.00,0.14,0.06,0.20,0.14,0.20,Matches,007414dd
151,Anthony Elanga,se SWE,FW,Manchester Utd,21-000,2002,16,5,426,4.7,0,1,1,0,0,0,0,0,0.7,0.7,0.9,1.6,12,8,28,0.00,0.21,0.21,0.00,0.21,0.15,0.19,0.34,0.15,0.34,Matches,2fba6108
