,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches,-9999,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,xA,A-xAG,KP,1/3,PPA,CrsPA,SCA,SCA90,PassLive,PassDead,TO,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Tkl%,Lost,Blocks,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Live,Succ,Succ%,Tkld,Tkld%,Carries,CPA,Mis,Dis,Rec
179,Ben Davies,WAL,DF,Tottenham,30,1993,25,21,1831,20.3,2,2,4,2,0,0,3,0,1.0,1.0,2.3,3.3,30,96,54,0.1,0.1,0.2,0.1,0.2,0.05,0.11,0.16,0.05,0.16,Matches,44781702,14,5,35.7,0.68,0.24,0.14,0.4,16.7,0,0.07,1.0,1.0,884,1072,82.5,14680,5034,428,475,90.1,374,430,87.0,60,112,53.6,1.3,-0.3,17,66,6,3,31,1.51,28,0,0,0,0,6,0.29,4,0,0,2,0,0,17,8,7,9,1,8,47.1,9,15,9,16,33,60,0,1236,78,26,1236,4,36.4,6,54.5,720,3,11,5,869
180,Tom Davies,ENG,MF,Everton,24,1998,19,4,538,6.0,0,0,0,0,0,0,3,0,1.2,1.2,0.2,1.3,2,30,13,0.0,0.0,0.0,0.0,0.0,0.19,0.03,0.22,0.19,0.22,Matches,9228b07c,9,2,22.2,1.51,0.33,0.0,0.0,15.7,0,0.13,-1.2,-1.2,173,234,73.9,2879,850,87,111,78.4,64,76,84.2,16,29,55.2,0.3,-0.2,2,25,2,0,6,1.0,5,0,0,0,0,0,0.0,0,0,0,0,0,0,15,9,5,9,1,7,50.0,7,10,9,4,19,7,1,309,13,15,309,3,50.0,3,50.0,150,0,17,4,201
181,Craig Dawson,ENG,DF,West Ham,32,1990,8,8,720,8.0,0,0,0,0,0,0,2,0,0.5,0.5,0.1,0.6,0,18,1,0.0,0.0,0.0,0.0,0.0,0.06,0.01,0.07,0.06,0.07,Matches,3e9e06cb,6,1,16.7,0.75,0.12,0.0,0.0,15.1,0,0.08,-0.5,-0.5,245,310,79.0,5404,2170,74,86,86.0,121,137,88.3,48,79,60.8,0.1,-0.1,1,25,0,0,12,1.5,10,0,0,1,0,1,0.12,0,0,0,0,1,0,10,6,8,2,0,4,66.7,2,9,3,6,16,26,0,380,53,14,380,0,0.0,1,100.0,193,0,2,4,216
245,Kevin De Bruyne,BEL,MF,Manchester City,31,1991,29,26,2258,25.1,7,16,23,7,0,0,1,0,5.5,5.5,13.3,18.8,100,226,231,0.28,0.64,0.92,0.28,0.92,0.22,0.53,0.75,0.22,0.75,Matches,e46012d4,64,21,32.8,2.55,0.84,0.11,0.33,23.0,7,0.09,1.5,1.5,1073,1481,72.5,20013,6020,483,573,84.3,431,573,75.2,144,254,56.7,13.4,2.7,90,115,88,19,166,6.62,113,31,8,4,3,31,1.24,24,3,1,1,2,0,25,10,3,11,11,12,32.4,25,25,23,7,32,10,0,1703,12,96,1703,30,54.5,17,30.9,1018,16,40,27,1319
246,Siriki Dembélé,CIV,FWMF,Bournemouth,26,1996,6,0,110,1.2,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.5,5,4,11,0.0,0.0,0.0,0.0,0.0,0.15,0.25,0.41,0.15,0.41,Matches,11f54bd5,2,2,100.0,1.64,1.64,0.0,0.0,16.6,0,0.09,-0.2,-0.2,37,47,78.7,543,223,22,29,75.9,10,13,76.9,2,2,100.0,0.2,-0.3,4,2,3,2,5,4.09,5,0,0,0,0,0,0.0,0,0,0,0,0,0,3,1,2,1,0,0,0.0,1,1,1,1,4,1,0,71,1,3,71,6,60.0,3,30.0,47,1,9,5,50
247,Leander Dendoncker,BEL,MF,Aston Villa,28,1995,18,6,630,7.0,0,0,0,0,0,0,0,0,0.1,0.1,0.5,0.5,1,15,2,0.0,0.0,0.0,0.0,0.0,0.01,0.07,0.08,0.01,0.08,Matches,5a7301ae,2,0,0.0,0.29,0.0,0.0,,26.9,0,0.03,-0.1,-0.1,228,258,88.4,3559,673,111,120,92.5,101,110,91.8,9,14,64.3,0.1,-0.5,5,14,0,0,8,1.14,6,0,0,0,1,0,0.0,0,0,0,0,0,0,18,8,10,6,2,11,52.4,10,15,11,8,26,11,0,329,18,7,329,2,50.0,2,50.0,150,0,8,2,190
311,Emmanuel Dennis,NGA,FWMF,Nott'ham Forest,25,1997,18,6,701,7.8,2,2,4,2,0,0,3,0,1.8,1.8,0.6,2.4,23,16,61,0.26,0.26,0.51,0.26,0.51,0.23,0.07,0.31,0.23,0.31,Matches,2c44a35d,20,6,30.0,2.57,0.77,0.1,0.33,12.8,2,0.09,0.2,0.2,120,177,67.8,1798,372,71,90,78.9,37,55,67.3,8,11,72.7,0.4,1.4,7,7,4,2,25,3.21,14,1,2,6,0,3,0.38,2,0,0,0,1,0,16,11,5,5,6,8,47.1,9,13,12,2,18,6,0,324,5,40,324,18,34.6,25,48.1,205,8,30,23,213
312,Halil Dervişoğlu,TUR,MF,Brentford,23,1999,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.31,0.31,0.31,Matches,9d8cf204,1,0,0.0,11.25,0.0,0.0,,31.9,0,0.03,0.0,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0.0,0.0,0,0,0,0,1,11.25,0,0,0,0,0,1,11.25,0,0,0,1,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,1,0,0,1,0,,0,,2,1,0,1,2
313,Kiernan Dewsbury-Hall,ENG,MF,Leicester City,24,1998,29,27,2221,24.7,2,2,4,2,0,0,5,1,2.3,2.3,3.1,5.5,64,125,88,0.08,0.08,0.16,0.08,0.16,0.09,0.13,0.22,0.09,0.22,Matches,5c74c0f5,25,6,24.0,1.01,0.24,0.08,0.33,21.4,0,0.09,-0.3,-0.3,827,1102,75.0,13877,3614,420,495,84.8,300,377,79.6,81,156,51.9,2.5,-1.1,38,108,22,4,72,2.92,56,0,7,5,2,9,0.36,6,0,1,0,1,1,51,28,14,32,5,18,40.0,27,55,42,27,78,21,0,1424,45,48,1424,37,55.2,24,35.8,855,15,71,30,990
314,Ibrahima Diallo,FRA,MF,Southampton,24,1999,18,11,819,9.1,0,0,0,0,0,0,4,0,0.2,0.2,0.1,0.3,9,28,6,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.04,0.02,0.04,Matches,11ff3d56,6,0,0.0,0.66,0.0,0.0,,28.4,0,0.03,-0.2,-0.2,317,402,78.9,4768,1064,181,206,87.9,112,139,80.6,16,34,47.1,0.1,-0.1,4,24,2,0,10,1.1,8,0,1,0,1,0,0.0,0,0,0,0,0,0,25,15,14,10,1,8,57.1,6,11,10,6,31,11,0,499,18,4,499,8,61.5,5,38.5,287,0,16,9,294
315,Rúben Dias,POR,DF,Manchester City,25,1997,23,19,1729,19.2,0,0,0,0,0,0,3,0,1.3,1.3,0.6,1.9,9,83,2,0.0,0.0,0.0,0.0,0.0,0.07,0.03,0.1,0.07,0.1,Matches,31c69ef1,10,2,20.0,0.52,0.1,0.0,0.0,9.1,0,0.13,-1.3,-1.3,1621,1757,92.3,29896,10530,579,607,95.4,911,955,95.4,117,168,69.6,0.3,-0.6,3,113,0,0,14,0.73,10,1,0,0,0,1,0.05,1,0,0,0,0,0,19,11,9,9,1,9,64.3,5,19,8,18,37,48,1,1897,155,21,1897,6,75.0,1,12.5,1260,1,1,3,1510
316,Luis Díaz,COL,FW,Liverpool,26,1997,11,7,665,7.4,3,2,5,3,0,0,2,0,1.8,1.8,1.1,2.9,23,33,78,0.41,0.27,0.68,0.41,0.68,0.25,0.14,0.39,0.25,0.39,Matches,4a1a9578,18,7,38.9,2.44,0.95,0.17,0.43,13.5,0,0.1,1.2,1.2,241,297,81.1,3637,734,142,169,84.0,79,93,84.9,14,16,87.5,0.9,0.9,7,19,6,1,24,3.25,16,0,4,2,0,5,0.68,2,0,2,1,0,0,12,8,2,8,2,4,50.0,4,6,6,2,14,0,0,393,3,49,393,17,45.9,13,35.1,287,14,18,27,331
317,Eric Dier,ENG,DF,Tottenham,29,1994,30,29,2635,29.3,2,1,3,2,0,0,3,0,1.2,1.2,1.2,2.4,8,82,14,0.07,0.03,0.1,0.07,0.1,0.04,0.04,0.08,0.04,0.08,Matches,ac861941,17,4,23.5,0.56,0.13,0.12,0.5,11.8,2,0.1,0.4,0.4,1672,1950,85.7,31986,12479,618,667,92.7,849,913,93.0,178,309,57.6,0.6,-0.2,7,76,8,3,29,0.96,24,1,0,0,0,2,0.07,1,0,0,1,0,0,28,18,15,11,2,8,44.4,10,39,15,34,62,106,2,2212,356,25,2212,3,50.0,2,33.3,1337,1,10,3,1562
318,Lucas Digne,FRA,DF,Aston Villa,29,1993,24,16,1338,14.9,1,0,1,1,0,0,4,0,0.3,0.3,1.8,2.1,24,51,83,0.07,0.0,0.07,0.07,0.07,0.02,0.12,0.14,0.02,0.14,Matches,1b84dbe1,7,3,42.9,0.47,0.2,0.14,0.33,20.3,3,0.05,0.7,0.7,645,847,76.2,10165,3854,361,403,89.6,229,308,74.4,44,92,47.8,1.7,-1.8,17,35,22,14,27,1.82,23,3,0,1,0,0,0.0,0,0,0,0,0,0,26,10,18,8,0,17,58.6,12,16,11,15,41,37,0,998,56,21,998,1,6.3,11,68.8,507,1,16,11,585
319,Issa Diop,FRA,DF,Fulham,26,1997,19,16,1506,16.7,1,0,1,1,0,0,2,0,0.3,0.3,0.0,0.3,10,57,3,0.06,0.0,0.06,0.06,0.06,0.02,0.0,0.02,0.02,0.02,Matches,a712ca2b,3,2,66.7,0.18,0.12,0.33,0.5,12.3,0,0.09,0.7,0.7,887,1043,85.0,18006,5726,258,291,88.7,531,577,92.0,95,163,58.3,0.2,0.0,1,57,3,0,7,0.42,7,0,0,0,0,0,0.0,0,0,0,0,0,0,23,16,15,7,1,12,50.0,12,20,6,27,50,54,0,1188,125,8,1188,2,50.0,1,25.0,742,0,5,1,812
320,Moussa Djenepo,MLI,DFFW,Southampton,24,1998,14,6,629,7.0,0,2,2,0,0,0,0,0,0.2,0.2,0.5,0.7,25,17,36,0.0,0.29,0.29,0.0,0.29,0.02,0.07,0.09,0.02,0.09,Matches,254147d4,3,2,66.7,0.43,0.29,0.0,0.0,13.8,0,0.06,-0.2,-0.2,165,225,73.3,2413,715,96,110,87.3,55,77,71.4,8,19,42.1,0.4,1.5,8,12,5,3,16,2.29,11,0,2,2,0,4,0.57,2,0,2,0,0,0,17,9,11,5,1,9,42.9,12,15,13,11,28,6,0,323,13,14,323,17,45.9,15,40.5,177,5,13,4,166
321,Ben Doak,SCO,FW,Liverpool,17,2005,2,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,733f1a7d,0,0,,0.0,0.0,,,,0,,0.0,0.0,10,14,71.4,86,17,9,10,90.0,0,1,0.0,0,1,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,3,2,1,2,0,1,100.0,0,1,1,0,3,0,0,22,0,2,22,0,0.0,4,100.0,16,2,1,0,15
322,Matt Doherty,IRL,DFMF,Tottenham,31,1992,12,7,667,7.4,1,0,1,1,0,0,0,0,0.8,0.8,0.3,1.0,16,20,57,0.13,0.0,0.13,0.13,0.13,0.1,0.04,0.14,0.1,0.14,Matches,d557d734,10,2,20.0,1.35,0.27,0.1,0.5,12.1,0,0.08,0.2,0.2,329,408,80.6,4896,1222,190,204,93.1,107,137,78.1,18,35,51.4,0.3,-0.3,6,14,5,3,18,2.43,13,0,2,1,0,3,0.41,2,0,0,1,0,0,16,10,12,3,1,8,80.0,2,11,5,8,24,14,1,500,27,24,500,5,41.7,4,33.3,247,2,12,3,306
323,Gabriel Dos Santos,BRA,DF,Arsenal,25,1997,33,33,2965,32.9,3,0,3,3,0,0,4,0,4.6,4.6,0.2,4.8,17,143,14,0.09,0.0,0.09,0.09,0.09,0.14,0.01,0.15,0.14,0.15,Matches,67ac5bb8,29,9,31.0,0.88,0.27,0.1,0.33,12.4,0,0.16,-1.6,-1.6,1895,2120,89.4,33923,12067,754,801,94.1,986,1046,94.3,134,220,60.9,0.6,-0.2,4,153,3,0,23,0.7,20,0,0,0,1,2,0.06,2,0,0,0,0,0,44,28,27,13,4,18,66.7,9,43,18,26,70,116,2,2440,278,49,2440,2,66.7,0,0.0,1531,3,16,3,1697
324,Abdoulaye Doucouré,MLI,MF,Everton,30,1993,19,11,993,11.0,2,2,4,2,0,0,5,1,1.5,1.5,1.3,2.8,16,31,36,0.18,0.18,0.36,0.18,0.36,0.14,0.12,0.25,0.14,0.25,Matches,02b29014,13,3,23.1,1.08,0.25,0.15,0.67,11.8,0,0.12,0.4,0.4,340,431,78.9,4506,1084,202,244,82.8,116,137,84.7,5,10,50.0,1.0,0.5,15,25,9,0,33,2.75,28,0,3,0,0,2,0.17,2,0,0,0,0,0,21,13,7,10,4,10,33.3,20,22,19,10,31,7,0,549,12,32,549,16,64.0,7,28.0,289,6,19,9,338
325,Cheick Doucouré,MLI,MF,Crystal Palace,23,2000,29,29,2353,26.1,0,3,3,0,0,0,10,1,1.2,1.2,1.8,3.0,13,117,13,0.0,0.11,0.11,0.0,0.11,0.04,0.07,0.11,0.04,0.11,Matches,ce4f40c7,31,6,19.4,1.19,0.23,0.0,0.0,24.9,0,0.04,-1.2,-1.2,855,1036,82.5,14342,4598,403,450,89.6,367,430,85.3,66,93,71.0,1.0,1.2,23,93,10,1,53,2.03,40,0,2,2,4,5,0.19,3,0,0,1,0,1,72,44,39,30,3,29,56.9,22,38,27,52,124,39,0,1327,81,11,1327,11,68.8,5,31.3,627,0,25,19,734
326,Flynn Downes,ENG,MF,West Ham,24,1999,17,4,496,5.5,0,0,0,0,0,0,1,0,0.4,0.4,0.0,0.5,2,13,10,0.0,0.0,0.0,0.0,0.0,0.08,0.01,0.09,0.08,0.09,Matches,69fdb896,4,1,25.0,0.73,0.18,0.0,0.0,14.6,0,0.11,-0.4,-0.4,158,192,82.3,2139,424,106,114,93.0,40,50,80.0,6,9,66.7,0.1,0.0,1,11,1,0,10,1.81,5,0,0,2,0,0,0.0,0,0,0,0,0,0,11,7,3,7,1,3,50.0,3,11,10,4,15,3,0,242,6,5,242,0,0.0,0,0.0,126,1,8,4,158
327,Cody Drameh,ENG,DF,Leeds United,21,2001,1,1,69,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,e0d1510a,0,0,,0.0,0.0,,,,0,,0.0,0.0,30,38,78.9,457,153,17,21,81.0,11,12,91.7,2,5,40.0,0.0,0.0,0,2,0,0,1,1.3,1,0,0,0,0,0,0.0,0,0,0,0,0,0,5,4,0,4,1,2,66.7,1,0,0,1,6,1,0,44,1,0,44,1,100.0,0,0.0,17,0,1,1,23
328,Martin Dúbravka,SVK,GK,Newcastle Utd,34,1989,1,0,67,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,3a949a25,0,0,,0.0,0.0,,,,0,,0.0,0.0,19,22,86.4,418,293,9,9,100.0,4,4,100.0,5,8,62.5,0.0,0.0,0,1,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,24,21,0,24,0,,0,,16,0,0,0,6
329,Shane Duffy,IRL,FWDF,Fulham,31,1992,4,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,7314bba4,0,0,,0.0,0.0,,,,0,,0.0,0.0,2,4,50.0,20,9,2,2,100.0,0,0,,0,1,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,5,0,0,5,0,,0,,1,0,1,0,2
330,Lewis Dunk,ENG,DF,Brighton,31,1991,30,30,2699,30.0,1,0,1,1,0,0,2,0,1.6,1.6,0.7,2.4,15,125,2,0.03,0.0,0.03,0.03,0.03,0.05,0.02,0.08,0.05,0.08,Matches,282f75f3,21,3,14.3,0.7,0.1,0.05,0.33,11.7,1,0.08,-0.6,-0.6,2378,2638,90.1,45299,16820,849,900,94.3,1249,1312,95.2,245,369,66.4,0.7,-0.7,8,151,8,1,24,0.8,23,0,0,0,0,2,0.07,2,0,0,0,0,0,23,14,16,5,2,11,47.8,12,30,9,28,51,72,0,2846,353,33,2846,2,66.7,0,0.0,1881,0,10,4,2128
331,Jhon Durán,COL,FW,Aston Villa,19,2003,8,0,84,0.9,0,0,0,0,0,0,1,0,0.6,0.6,0.0,0.6,2,3,10,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.59,0.59,0.59,Matches,414184f7,7,2,28.6,7.5,2.14,0.0,0.0,19.8,0,0.08,-0.6,-0.6,12,22,54.5,216,25,5,7,71.4,6,10,60.0,1,2,50.0,0.0,0.0,0,0,1,0,3,3.21,2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,1,1,1,0,40,2,5,40,1,50.0,1,50.0,23,1,4,2,30
332,Malcolm Ebiowei,ENG,MFFW,Crystal Palace,19,2003,3,0,34,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,2,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,fa9fa773,0,0,,0.0,0.0,,,,0,,0.0,0.0,5,10,50.0,98,16,2,4,50.0,2,2,100.0,1,2,50.0,0.0,0.0,0,0,0,0,1,2.65,1,0,0,0,0,0,0.0,0,0,0,0,0,0,1,1,1,0,0,0,0.0,1,2,2,0,1,0,0,21,0,2,21,2,40.0,3,60.0,14,0,5,0,15
333,Ederson,BRA,GK,Manchester City,29,1993,31,31,2790,31.0,0,1,1,0,0,0,2,0,0.0,0.0,0.2,0.2,0,0,0,0.0,0.03,0.03,0.0,0.03,0.0,0.01,0.01,0.0,0.01,Matches,3bb7b8b4,0,0,,0.0,0.0,,,,0,,0.0,0.0,959,1114,86.1,23391,15256,210,212,99.1,501,508,98.6,247,391,63.2,0.2,0.8,1,11,0,0,2,0.06,2,0,0,0,0,1,0.03,1,0,0,0,0,0,2,1,2,0,0,1,50.0,1,0,0,1,3,9,2,1154,923,0,1154,0,,0,,772,0,0,0,736
334,Odsonne Édouard,FRA,FW,Crystal Palace,25,1998,30,18,1604,17.8,4,2,6,4,0,0,3,0,3.8,3.8,1.1,4.9,25,32,90,0.22,0.11,0.34,0.22,0.34,0.21,0.06,0.28,0.21,0.28,Matches,0562b7f1,36,13,36.1,2.02,0.73,0.11,0.31,12.4,0,0.11,0.2,0.2,263,368,71.5,2987,492,188,234,80.3,50,80,62.5,5,10,50.0,0.7,0.9,15,9,9,0,41,2.3,30,0,1,1,0,4,0.22,4,0,0,0,0,0,24,13,7,12,5,7,63.6,4,16,11,3,27,22,0,607,25,82,607,14,34.1,25,61.0,312,18,54,48,429
335,Samuel Edozie,ENG,FWMF,Southampton,20,2003,16,5,552,6.1,0,0,0,0,0,0,0,0,0.9,0.9,0.3,1.2,23,12,37,0.0,0.0,0.0,0.0,0.0,0.14,0.06,0.2,0.14,0.2,Matches,007414dd,8,3,37.5,1.3,0.49,0.0,0.0,16.5,0,0.11,-0.9,-0.9,106,156,67.9,1257,337,72,90,80.0,21,33,63.6,4,9,44.4,0.4,-0.3,6,5,6,1,18,2.94,11,0,3,4,0,0,0.0,0,0,0,0,0,0,16,9,5,10,1,3,37.5,5,7,7,6,22,6,0,266,4,29,266,10,28.6,16,45.7,174,10,23,10,179
336,Anthony Elanga,SWE,FW,Manchester Utd,21,2002,16,5,426,4.7,0,1,1,0,0,0,0,0,0.7,0.7,0.9,1.6,12,8,28,0.0,0.21,0.21,0.0,0.21,0.15,0.19,0.34,0.15,0.34,Matches,2fba6108,10,4,40.0,2.11,0.85,0.0,0.0,13.8,0,0.07,-0.7,-0.7,95,130,73.1,1201,298,65,86,75.6,23,32,71.9,3,3,100.0,1.0,0.1,6,3,3,0,17,3.59,13,0,0,1,0,1,0.21,1,0,0,0,0,0,3,0,0,2,1,1,50.0,1,4,4,2,5,4,0,197,4,28,197,5,33.3,7,46.7,109,7,13,7,139
337,Harvey Elliott,ENG,MFFW,Liverpool,20,2003,27,17,1497,16.6,1,2,3,1,0,0,1,0,1.8,1.8,3.2,5.0,47,116,122,0.06,0.12,0.18,0.06,0.18,0.11,0.19,0.3,0.11,0.3,Matches,c8387671,29,10,34.5,1.74,0.6,0.03,0.1,18.9,0,0.06,-0.8,-0.8,733,918,79.8,11045,2790,409,458,89.3,261,324,80.6,39,74,52.7,4.0,-1.2,21,61,36,6,64,3.85,51,1,5,1,1,8,0.48,8,0,0,0,0,0,22,14,6,10,6,6,20.7,23,25,24,14,36,7,0,1084,13,45,1084,19,47.5,14,35.0,682,8,25,19,794
338,Mohamed Elneny,EGY,MF,Arsenal,30,1992,5,1,113,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,47a34c4f,0,0,,0.0,0.0,,,,0,,0.0,0.0,57,60,95.0,1031,224,23,23,100.0,27,29,93.1,6,6,100.0,0.0,0.0,0,3,2,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,1,1,0,0,1,100.0,0,0,0,0,1,0,0,63,2,0,63,0,,0,,38,0,0,0,49
339,Mohamed Elyounoussi,NOR,MFFW,Southampton,28,1994,28,24,1937,21.5,0,1,1,0,0,0,3,0,2.7,2.7,2.0,4.7,46,46,91,0.0,0.05,0.05,0.0,0.05,0.12,0.09,0.22,0.12,0.22,Matches,68dc0dac,32,8,25.0,1.44,0.36,0.0,0.0,16.6,0,0.09,-2.7,-2.7,399,593,67.3,5608,1556,253,323,78.3,104,159,65.4,26,52,50.0,1.5,-1.1,18,29,18,6,40,1.8,34,0,1,2,1,4,0.18,4,0,0,0,0,0,43,26,19,20,4,18,42.9,24,37,34,26,69,36,0,887,56,48,887,22,56.4,15,38.5,455,10,37,37,491
340,Emerson,BRA,DF,Tottenham,24,1999,22,16,1391,15.5,2,1,3,2,0,0,2,1,1.6,1.6,0.6,2.3,42,70,95,0.13,0.06,0.19,0.13,0.19,0.1,0.04,0.15,0.1,0.15,Matches,df8b52a5,15,6,40.0,0.97,0.39,0.13,0.33,16.1,0,0.11,0.4,0.4,662,832,79.6,10353,2999,351,392,89.5,248,292,84.9,40,74,54.1,1.0,0.4,9,43,16,3,33,2.14,31,0,0,1,1,2,0.13,2,0,0,0,0,0,42,26,28,11,3,20,62.5,12,15,12,12,54,58,0,1035,75,42,1035,13,52.0,6,24.0,521,6,19,15,602
341,Christian Eriksen,DEN,MF,Manchester Utd,31,1992,21,19,1581,17.6,1,7,8,1,0,0,3,0,3.5,3.5,3.1,6.7,17,124,47,0.06,0.4,0.46,0.06,0.46,0.2,0.18,0.38,0.2,0.38,Matches,980522ec,29,9,31.0,1.59,0.49,0.03,0.11,18.4,4,0.13,-2.6,-2.6,942,1180,79.8,15646,4734,483,544,88.8,342,405,84.4,86,165,52.1,2.8,3.2,30,115,23,4,57,3.12,41,13,1,0,0,8,0.44,6,2,0,0,0,0,14,11,8,3,3,6,26.1,17,21,13,10,24,18,1,1312,37,29,1312,4,33.3,8,66.7,786,1,20,14,966
342,Pervis Estupiñán,ECU,DF,Brighton,25,1998,27,24,2001,22.2,0,3,3,0,0,0,3,0,0.8,0.8,3.6,4.4,71,123,146,0.0,0.13,0.13,0.0,0.13,0.04,0.16,0.2,0.04,0.2,Matches,d38fdf53,19,2,10.5,0.85,0.09,0.0,0.0,20.1,0,0.04,-0.8,-0.8,1226,1489,82.3,17713,5580,726,801,90.6,419,505,83.0,47,83,56.6,2.7,-0.6,36,75,33,13,68,3.06,63,1,2,2,0,6,0.27,5,0,0,0,1,0,48,25,28,14,6,29,63.0,17,22,16,34,82,29,1,1714,67,51,1714,14,42.4,14,42.4,1010,10,32,24,1125
343,Jonny Evans,NIR,DF,Leicester City,35,1988,10,9,811,9.0,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,6,31,0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Matches,f8fcd2a5,1,1,100.0,0.11,0.11,0.0,0.0,3.8,0,0.17,-0.2,-0.2,603,675,89.3,12088,4606,172,186,92.5,361,381,94.8,64,91,70.3,0.1,0.0,1,40,1,0,4,0.44,4,0,0,0,0,0,0.0,0,0,0,0,0,0,10,4,10,0,0,6,60.0,4,6,1,16,26,33,0,757,97,2,757,0,,0,,457,0,2,0,553
344,Eberechi Eze,ENG,MFFW,Crystal Palace,24,1998,33,25,2186,24.3,7,3,10,7,0,0,3,0,4.8,4.8,3.6,8.4,58,106,93,0.29,0.12,0.41,0.29,0.41,0.2,0.15,0.35,0.2,0.35,Matches,ae4fc6a4,57,21,36.8,2.35,0.86,0.12,0.33,22.6,11,0.08,2.2,2.2,746,958,77.9,11507,3269,430,495,86.9,233,284,82.0,58,124,46.8,2.6,-0.6,48,73,29,2,95,3.91,55,18,9,7,2,11,0.45,6,1,4,0,0,0,38,23,15,17,6,14,43.8,18,21,21,9,47,8,0,1242,16,60,1242,64,60.4,35,33.0,720,23,58,45,802
345,Łukasz Fabiański,POL,GK,West Ham,38,1985,30,30,2571,28.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,9328b835,0,0,,0.0,0.0,,,,0,,0.0,0.0,475,757,62.7,15165,12062,93,93,100.0,175,177,98.9,205,482,42.5,0.0,0.0,0,10,0,0,2,0.07,0,2,0,0,0,0,0.0,0,0,0,0,0,0,2,0,2,0,0,1,50.0,1,0,0,0,2,8,1,819,714,0,819,0,,0,,425,0,3,0,294
346,Fabinho,BRA,MF,Liverpool,29,1993,30,25,2175,24.2,0,1,1,0,0,0,9,0,0.7,0.7,1.8,2.5,11,123,31,0.0,0.04,0.04,0.0,0.04,0.03,0.07,0.1,0.03,0.1,Matches,7f3b388c,16,4,25.0,0.66,0.17,0.0,0.0,21.2,0,0.04,-0.7,-0.7,1288,1469,87.7,20787,4801,654,710,92.1,491,533,92.1,100,147,68.0,1.3,-0.8,13,93,11,0,44,1.82,39,0,0,2,2,6,0.25,5,0,0,0,1,0,53,31,16,33,4,19,38.0,31,33,22,32,85,30,0,1683,69,19,1683,6,50.0,3,25.0,939,1,14,11,1177
