,,,,,,,,Standard,,,,,,,,,,,,Expected,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
30,Kepa Arrizabalaga,es ESP,GK,Chelsea,28-207,1994,23.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,28d596a0
31,Pierre-Emerick Aubameyang,ga GAB,FW,Chelsea,33-314,1989,5.7,1,16,7,43.8,2.83,1.24,0.06,0.14,13.7,0,0,0,1.5,1.5,0.09,-0.5,-0.5,Matches,d5dd5f1f
32,Ludwig Augustinsson,se SWE,DF,Aston Villa,29-007,1994,0.9,0,2,1,50.0,2.34,1.17,0.00,0.00,12.7,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,9fec8860
33,Serge Aurier,ci CIV,DF,Nott'ham Forest,30-125,1992,16.9,1,8,3,37.5,0.47,0.18,0.13,0.33,14.7,0,0,0,0.7,0.7,0.09,+0.3,+0.3,Matches,5c2b4f07
34,Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,25-259,1997,11.4,4,27,9,33.3,2.37,0.79,0.15,0.44,12.1,0,0,0,5.5,5.5,0.21,-1.5,-1.5,Matches,e5478b87
35,Yasin Ayari,se SWE,MF,Brighton,19-204,2003,0.1,0,1,0,0.0,8.18,0.00,0.00,,29.7,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,f173303a
36,André Ayew,gh GHA,FWMF,Nott'ham Forest,33-132,1989,3.1,0,3,1,33.3,0.97,0.32,0.00,0.00,19.3,0,0,1,1.0,0.3,0.09,-1.0,-0.3,Matches,5dbefa9d
37,Jordan Ayew,gh GHA,FWMF,Crystal Palace,31-229,1991,25.2,3,26,9,34.6,1.03,0.36,0.12,0.33,15.8,0,0,0,2.8,2.8,0.11,+0.2,+0.2,Matches,da052c14
38,Luke Ayling,eng ENG,DF,Leeds United,31-246,1991,17.8,1,19,4,21.1,1.07,0.22,0.05,0.25,15.9,0,0,0,2.1,2.1,0.11,-1.1,-1.1,Matches,420d7c7d
39,César Azpilicueta,es ESP,DF,Chelsea,33-243,1989,12.8,0,7,1,14.3,0.55,0.08,0.00,0.00,18.4,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches,53cad200
40,Benoît Badiashile,fr FRA,DF,Chelsea,22-033,2001,8.1,0,5,1,20.0,0.62,0.12,0.00,0.00,7.2,0,0,0,0.8,0.8,0.16,-0.8,-0.8,Matches,06df8256
