,,,,,,,,Total,,,,,Short,,,Medium,,,Long,,,,,,,,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches,-9999
28,Adam Armstrong,eng ENG,FW,Southampton,26-077,1997,14.0,213,291,73.2,3131,573,116,140,82.9,68,86,79.1,13,22,59.1,1,0.7,0.8,+0.3,10,12,10,2,16,Matches,68c720b5
29,Stuart Armstrong,sct SCO,MFFW,Southampton,31-029,1992,12.7,445,569,78.2,6783,1922,241,280,86.1,160,192,83.3,27,47,57.4,0,1.8,2.3,-1.8,15,41,26,6,66,Matches,97333cf5
30,Kepa Arrizabalaga,es ESP,GK,Chelsea,28-207,1994,23.5,716,867,82.6,16006,9470,233,235,99.1,319,323,98.8,162,306,52.9,0,0.0,0.0,0.0,0,5,0,0,0,Matches,28d596a0
31,Pierre-Emerick Aubameyang,ga GAB,FW,Chelsea,33-314,1989,5.7,76,105,72.4,974,198,52,66,78.8,20,24,83.3,2,4,50.0,0,0.4,0.2,-0.4,4,2,2,1,3,Matches,d5dd5f1f
32,Ludwig Augustinsson,se SWE,DF,Aston Villa,29-007,1994,0.9,26,43,60.5,421,176,13,16,81.3,10,16,62.5,2,8,25.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches,9fec8860
33,Serge Aurier,ci CIV,DF,Nott'ham Forest,30-125,1992,16.9,584,818,71.4,8842,3789,330,402,82.1,205,290,70.7,34,75,45.3,0,1.0,0.8,-1.0,10,36,12,6,59,Matches,5c2b4f07
34,Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,25-259,1997,11.4,113,164,68.9,1332,226,78,100,78.0,27,38,71.1,1,5,20.0,1,1.1,0.3,-0.1,9,5,2,0,10,Matches,e5478b87
35,Yasin Ayari,se SWE,MF,Brighton,19-204,2003,0.1,9,10,90.0,186,94,4,5,80.0,2,2,100.0,3,3,100.0,0,0.1,0.3,-0.1,1,3,1,0,2,Matches,f173303a
36,André Ayew,gh GHA,FWMF,Nott'ham Forest,33-132,1989,3.1,44,63,69.8,555,89,34,41,82.9,9,17,52.9,0,1,0.0,0,0.0,0.0,0.0,0,2,0,0,7,Matches,5dbefa9d
37,Jordan Ayew,gh GHA,FWMF,Crystal Palace,31-229,1991,25.2,548,726,75.5,7313,1480,342,394,86.8,168,219,76.7,15,39,38.5,2,2.6,2.2,-0.6,26,30,13,6,53,Matches,da052c14
38,Luke Ayling,eng ENG,DF,Leeds United,31-246,1991,17.8,644,924,69.7,10361,5347,360,416,86.5,216,304,71.1,54,128,42.2,1,1.6,1.9,-0.6,9,52,14,7,63,Matches,420d7c7d
39,César Azpilicueta,es ESP,DF,Chelsea,33-243,1989,12.8,674,840,80.2,10048,3464,379,412,92.0,270,333,81.1,15,63,23.8,0,1.0,1.0,-1.0,10,32,16,4,61,Matches,53cad200
40,Benoît Badiashile,fr FRA,DF,Chelsea,22-033,2001,8.1,590,658,89.7,10738,3848,225,248,90.7,317,338,93.8,44,62,71.0,0,0.5,0.2,-0.5,3,36,5,0,45,Matches,06df8256
41,Leon Bailey,jm JAM,FWMF,Aston Villa,25-262,1997,19.3,309,495,62.4,5001,1216,170,219,77.6,90,142,63.4,34,71,47.9,3,3.6,4.0,-0.6,24,18,19,14,26,Matches,3a233281
42,Stefan Bajcetic,es ESP,MF,Liverpool,18-188,2004,5.8,200,258,77.5,3227,694,98,118,83.1,74,89,83.1,18,29,62.1,0,0.4,0.5,-0.4,4,17,7,1,24,Matches,32e8417f
43,Patrick Bamford,eng ENG,FW,Leeds United,29-235,1993,13.8,198,277,71.5,2098,468,141,178,79.2,31,50,62.0,2,6,33.3,2,0.9,0.6,+1.1,10,17,8,0,20,Matches,93feac6e
44,Shandon Baptiste,gd GRN,MF,Brentford,25-020,1998,6.1,212,254,83.5,3578,1001,113,127,89.0,77,87,88.5,17,27,63.0,1,1.0,0.5,0.0,9,19,8,2,37,Matches,2886c9b5
45,Harvey Barnes,eng ENG,FWMF,Leicester City,25-140,1997,26.2,474,684,69.3,6145,1719,313,401,78.1,120,181,66.3,15,35,42.9,1,2.1,1.8,-1.1,15,33,27,4,66,Matches,3ea50f67
46,Gavin Bazunu,ie IRL,GK,Southampton,21-067,2002,32.0,718,1178,61.0,21528,16289,183,185,98.9,256,263,97.3,278,722,38.5,0,0.1,0.1,-0.1,1,42,1,0,1,Matches,c91441dc
47,Mads Bech Sørensen,dk DEN,DFMF,Brentford,24-111,1999,0.2,7,11,63.6,142,49,3,3,100.0,3,4,75.0,1,4,25.0,0,0.0,0.0,0.0,0,2,0,0,1,Matches,30db8574
48,Jan Bednarek,pl POL,DF,Southampton,27-016,1996,13.6,560,673,83.2,10415,4169,219,256,85.5,274,301,91.0,60,96,62.5,0,0.1,0.2,-0.1,3,25,0,0,32,Matches,4115ce4e
49,Jan Bednarek,pl POL,DF,Aston Villa,27-016,1996,1.1,60,66,90.9,1249,418,16,17,94.1,33,35,94.3,10,12,83.3,0,0.0,0.0,0.0,0,4,0,0,5,Matches,4115ce4e
50,Donny van de Beek,nl NED,MF,Manchester Utd,26-010,1997,1.9,46,61,75.4,502,115,31,34,91.2,8,8,100.0,1,2,50.0,0,0.1,0.1,-0.1,3,0,4,0,6,Matches,50dc94ce
51,Asmir Begović,ba BIH,GK,Everton,35-312,1987,1.0,21,30,70.0,584,423,3,3,100.0,10,10,100.0,8,17,47.1,0,0.0,0.0,0.0,0,0,0,0,0,Matches,7b4de647
52,Armel Bella Kotchap,de GER,DF,Southampton,21-138,2001,19.5,681,858,79.4,12713,3901,264,299,88.3,348,386,90.2,62,145,42.8,2,1.0,0.4,+1.0,6,31,4,0,36,Matches,a39d11bc
53,Saïd Benrahma,dz ALG,FWMF,West Ham,27-261,1995,20.4,519,684,75.9,7122,1825,324,364,89.0,153,205,74.6,22,56,39.3,3,3.9,2.8,-0.9,42,25,16,9,69,Matches,5a04fd92
54,Rodrigo Bentancur,uy URU,MF,Tottenham,25-307,1997,16.7,738,880,83.9,11482,3178,368,413,89.1,301,336,89.6,39,70,55.7,2,0.8,0.7,+1.2,11,54,9,4,76,Matches,3b8674e6
