,,,,,,,,Total,,,,,Short,,,Medium,,,Long,,,,,,,,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches,-9999
113,Diogo Dalot,pt POR,DF,Manchester Utd,24-041,1999,20.9,998,1270,78.6,18126,5595,408,460,88.7,478,567,84.3,97,181,53.6,2,1.9,1.5,+0.1,29,77,28,13,87,Matches,d9565625
114,Mikkel Damsgaard,dk DEN,MFFW,Brentford,22-299,2000,8.1,205,302,67.9,2970,1041,116,140,82.9,66,98,67.3,13,32,40.6,0,1.0,1.0,-1.0,10,31,8,1,33,Matches,215f3907
115,Danilo,br BRA,MF,Nott'ham Forest,21-364,2001,7.1,114,168,67.9,2004,760,56,69,81.2,44,56,78.6,13,27,48.1,1,0.5,0.3,+0.5,6,19,6,0,30,Matches,a816dbfb
116,Arnaut Danjuma,nl NED,FWMF,Tottenham,26-087,1997,1.0,15,28,53.6,217,40,10,15,66.7,3,5,60.0,2,2,100.0,0,0.0,0.0,0.0,1,0,2,2,0,Matches,f08490a6
117,Josh Dasilva,eng ENG,MF,Brentford,24-187,1998,14.5,447,561,79.7,7461,1779,224,257,87.2,177,203,87.2,37,64,57.8,2,1.4,1.5,+0.6,11,31,23,5,56,Matches,60344e4f
118,Ben Davies,wls WAL,DF,Tottenham,30-004,1993,20.5,884,1072,82.5,14680,5034,428,475,90.1,374,430,87.0,60,112,53.6,2,2.3,1.3,-0.3,17,66,6,3,97,Matches,44781702
119,Tom Davies,eng ENG,MF,Everton,24-302,1998,6.0,173,234,73.9,2879,850,87,111,78.4,64,76,84.2,16,29,55.2,0,0.2,0.3,-0.2,2,25,2,0,30,Matches,9228b07c
120,Craig Dawson,eng ENG,DF,West Ham,32-357,1990,8.0,245,310,79.0,5404,2170,74,86,86.0,121,137,88.3,48,79,60.8,0,0.1,0.1,-0.1,1,25,0,0,18,Matches,3e9e06cb
121,Craig Dawson,eng ENG,DF,Wolves,32-357,1990,12.2,623,742,84.0,12927,4391,178,198,89.9,344,374,92.0,94,151,62.3,0,0.0,0.1,0.0,1,44,1,0,37,Matches,3e9e06cb
122,Kevin De Bruyne,be BEL,MF,Manchester City,31-304,1991,25.1,1073,1481,72.5,20013,6020,483,573,84.3,431,573,75.2,144,254,56.7,16,13.3,13.4,+2.7,90,115,88,19,226,Matches,e46012d4
123,Siriki Dembélé,ci CIV,FWMF,Bournemouth,26-233,1996,1.2,37,47,78.7,543,223,22,29,75.9,10,13,76.9,2,2,100.0,0,0.3,0.2,-0.3,4,2,3,2,4,Matches,11f54bd5
124,Leander Dendoncker,be BEL,MF,Aston Villa,28-013,1995,7.0,228,258,88.4,3559,673,111,120,92.5,101,110,91.8,9,14,64.3,0,0.5,0.1,-0.5,5,14,0,0,15,Matches,5a7301ae
125,Leander Dendoncker,be BEL,MF,Wolves,28-013,1995,2.4,86,99,86.9,1466,282,45,50,90.0,32,32,100.0,8,8,100.0,0,0.0,0.0,0.0,2,4,1,1,6,Matches,5a7301ae
126,Emmanuel Dennis,ng NGA,FWMF,Nott'ham Forest,25-164,1997,7.8,120,177,67.8,1798,372,71,90,78.9,37,55,67.3,8,11,72.7,2,0.6,0.4,+1.4,7,7,4,2,16,Matches,2c44a35d
127,Halil Dervişoğlu,tr TUR,MF,Brentford,23-141,1999,0.1,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,9d8cf204
128,Kiernan Dewsbury-Hall,eng ENG,MF,Leicester City,24-234,1998,24.7,827,1102,75.0,13877,3614,420,495,84.8,300,377,79.6,81,156,51.9,2,3.1,2.5,-1.1,38,108,22,4,125,Matches,5c74c0f5
129,Ibrahima Diallo,fr FRA,MF,Southampton,24-051,1999,9.1,317,402,78.9,4768,1064,181,206,87.9,112,139,80.6,16,34,47.1,0,0.1,0.1,-0.1,4,24,2,0,28,Matches,11ff3d56
130,Rúben Dias,pt POR,DF,Manchester City,25-349,1997,19.2,1621,1757,92.3,29896,10530,579,607,95.4,911,955,95.4,117,168,69.6,0,0.6,0.3,-0.6,3,113,0,0,83,Matches,31c69ef1
131,Luis Díaz,co COL,FW,Liverpool,26-105,1997,7.4,241,297,81.1,3637,734,142,169,84.0,79,93,84.9,14,16,87.5,2,1.1,0.9,+0.9,7,19,6,1,33,Matches,4a1a9578
132,Eric Dier,eng ENG,DF,Tottenham,29-103,1994,30.3,1672,1950,85.7,31986,12479,618,667,92.7,849,913,93.0,178,309,57.6,1,1.2,0.6,-0.2,7,76,8,3,85,Matches,ac861941
133,Lucas Digne,fr FRA,DF,Aston Villa,29-282,1993,14.9,645,847,76.2,10165,3854,361,403,89.6,229,308,74.4,44,92,47.8,0,1.8,1.7,-1.8,17,35,22,14,51,Matches,1b84dbe1
134,Issa Diop,fr FRA,DF,Fulham,26-109,1997,16.7,887,1043,85.0,18006,5726,258,291,88.7,531,577,92.0,95,163,58.3,0,0.0,0.2,0.0,1,57,3,0,57,Matches,a712ca2b
135,Moussa Djenepo,ml MLI,DFFW,Southampton,24-317,1998,7.0,165,225,73.3,2413,715,96,110,87.3,55,77,71.4,8,19,42.1,2,0.5,0.4,+1.5,8,12,5,3,17,Matches,254147d4
136,Ben Doak,sct SCO,FW,Liverpool,17-168,2005,0.3,10,14,71.4,86,17,9,10,90.0,0,1,0.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,1,Matches,733f1a7d
137,Matt Doherty,ie IRL,DFMF,Tottenham,31-102,1992,7.4,329,408,80.6,4896,1222,190,204,93.1,107,137,78.1,18,35,51.4,0,0.3,0.3,-0.3,6,14,5,3,20,Matches,d557d734
138,Gabriel Dos Santos,br BRA,DF,Arsenal,25-130,1997,32.9,1895,2120,89.4,33923,12067,754,801,94.1,986,1046,94.3,134,220,60.9,0,0.2,0.6,-0.2,4,153,3,0,143,Matches,67ac5bb8
139,Abdoulaye Doucouré,ml MLI,MF,Everton,30-117,1993,12.0,340,431,78.9,4506,1084,202,244,82.8,116,137,84.7,5,10,50.0,2,1.5,1.0,+0.5,15,25,9,0,34,Matches,02b29014
140,Cheick Doucouré,ml MLI,MF,Crystal Palace,23-110,2000,26.1,855,1036,82.5,14342,4598,403,450,89.6,367,430,85.3,66,93,71.0,3,1.8,1.0,+1.2,23,93,10,1,117,Matches,ce4f40c7
141,Flynn Downes,eng ENG,MF,West Ham,24-098,1999,5.5,158,192,82.3,2139,424,106,114,93.0,40,50,80.0,6,9,66.7,0,0.0,0.1,0.0,1,11,1,0,13,Matches,69fdb896
142,Cody Drameh,eng ENG,DF,Leeds United,21-141,2001,0.8,30,38,78.9,457,153,17,21,81.0,11,12,91.7,2,5,40.0,0,0.0,0.0,0.0,0,2,0,0,2,Matches,e0d1510a
143,Martin Dúbravka,sk SVK,GK,Newcastle Utd,34-103,1989,0.7,19,22,86.4,418,293,9,9,100.0,4,4,100.0,5,8,62.5,0,0.0,0.0,0.0,0,1,0,0,0,Matches,3a949a25
144,Shane Duffy,ie IRL,FWDF,Fulham,31-117,1992,0.1,2,4,50.0,20,9,2,2,100.0,0,0,,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches,7314bba4
145,Lewis Dunk,eng ENG,DF,Brighton,31-158,1991,30.0,2378,2638,90.1,45299,16820,849,900,94.3,1249,1312,95.2,245,369,66.4,0,0.7,0.7,-0.7,8,151,8,1,125,Matches,282f75f3
146,Jhon Durán,co COL,FW,Aston Villa,19-136,2003,0.9,12,22,54.5,216,25,5,7,71.4,6,10,60.0,1,2,50.0,0,0.0,0.0,0.0,0,0,1,0,3,Matches,414184f7
147,Malcolm Ebiowei,eng ENG,MFFW,Crystal Palace,19-236,2003,0.4,5,10,50.0,98,16,2,4,50.0,2,2,100.0,1,2,50.0,0,0.0,0.0,0.0,0,0,0,0,2,Matches,fa9fa773
148,Ederson,br BRA,GK,Manchester City,29-254,1993,31.0,959,1114,86.1,23391,15256,210,212,99.1,501,508,98.6,247,391,63.2,1,0.2,0.2,+0.8,1,11,0,0,0,Matches,3bb7b8b4
149,Odsonne Édouard,fr FRA,FW,Crystal Palace,25-102,1998,17.8,263,368,71.5,2987,492,188,234,80.3,50,80,62.5,5,10,50.0,2,1.1,0.7,+0.9,15,9,9,0,32,Matches,0562b7f1
150,Samuel Edozie,eng ENG,FWMF,Southampton,20-090,2003,6.1,106,156,67.9,1257,337,72,90,80.0,21,33,63.6,4,9,44.4,0,0.3,0.4,-0.3,6,5,6,1,12,Matches,007414dd
151,Anthony Elanga,se SWE,FW,Manchester Utd,21-001,2002,4.7,95,130,73.1,1201,298,65,86,75.6,23,32,71.9,3,3,100.0,1,0.9,1.0,+0.1,6,3,3,0,8,Matches,2fba6108
152,Harvey Elliott,eng ENG,MFFW,Liverpool,20-024,2003,16.6,733,918,79.8,11045,2790,409,458,89.3,261,324,80.6,39,74,52.7,2,3.2,4.0,-1.2,21,61,36,6,116,Matches,c8387671
153,Mohamed Elneny,eg EGY,MF,Arsenal,30-291,1992,1.3,57,60,95.0,1031,224,23,23,100.0,27,29,93.1,6,6,100.0,0,0.0,0.0,0.0,0,3,2,0,2,Matches,47a34c4f
154,Mohamed Elyounoussi,no NOR,MFFW,Southampton,28-267,1994,22.2,399,593,67.3,5608,1556,253,323,78.3,104,159,65.4,26,52,50.0,1,2.1,1.5,-1.1,18,29,18,6,47,Matches,68dc0dac
155,Emerson,br BRA,DF,Tottenham,24-104,1999,15.5,662,832,79.6,10353,2999,351,392,89.5,248,292,84.9,40,74,54.1,1,0.6,1.0,+0.4,9,43,16,3,70,Matches,df8b52a5
156,Christian Eriksen,dk DEN,MF,Manchester Utd,31-073,1992,18.2,942,1180,79.8,15646,4734,483,544,88.8,342,405,84.4,86,165,52.1,7,3.8,2.8,+3.2,30,115,23,4,132,Matches,980522ec
157,Pervis Estupiñán,ec ECU,DF,Brighton,25-097,1998,22.2,1226,1489,82.3,17713,5580,726,801,90.6,419,505,83.0,47,83,56.6,3,3.6,2.7,-0.6,36,75,33,13,123,Matches,d38fdf53
158,Jonny Evans,nir NIR,DF,Leicester City,35-115,1988,9.0,603,675,89.3,12088,4606,172,186,92.5,361,381,94.8,64,91,70.3,0,0.0,0.1,0.0,1,40,1,0,31,Matches,f8fcd2a5
159,Eberechi Eze,eng ENG,MFFW,Crystal Palace,24-303,1998,24.3,746,958,77.9,11507,3269,430,495,86.9,233,284,82.0,58,124,46.8,3,3.6,2.6,-0.6,48,73,29,2,106,Matches,ae4fc6a4
160,Łukasz Fabiański,pl POL,GK,West Ham,38-010,1985,28.6,475,757,62.7,15165,12062,93,93,100.0,175,177,98.9,205,482,42.5,0,0.0,0.0,0.0,0,10,0,0,0,Matches,9328b835
161,Fabinho,br BRA,MF,Liverpool,29-187,1993,24.2,1288,1469,87.7,20787,4801,654,710,92.1,491,533,92.1,100,147,68.0,1,1.8,1.3,-0.8,13,93,11,0,123,Matches,7f3b388c
162,Wout Faes,be BEL,DF,Leicester City,25-025,1998,26.0,1409,1641,85.9,26223,9135,511,566,90.3,779,848,91.9,107,195,54.9,1,0.5,0.5,+0.5,8,65,5,0,67,Matches,9c221d14
163,Felipe,br BRA,DF,Nott'ham Forest,33-347,1989,11.9,349,478,73.0,6828,2730,130,155,83.9,173,208,83.2,41,91,45.1,1,0.5,0.8,+0.5,5,12,1,0,16,Matches,51a3c4c8
164,João Félix,pt POR,FWMF,Chelsea,23-169,1999,8.9,231,303,76.2,3474,1002,143,164,87.2,62,85,72.9,19,35,54.3,0,0.5,0.9,-0.5,7,27,14,1,41,Matches,8aafd64f
165,Evan Ferguson,ie IRL,FW,Brighton,18-191,2004,6.7,126,156,80.8,1680,226,88,104,84.6,33,38,86.8,4,6,66.7,2,0.4,0.4,+1.6,5,2,5,0,8,Matches,4596da74
166,Bruno Fernandes,pt POR,MFFW,Manchester Utd,28-232,1994,30.0,1238,1674,74.0,21119,7268,638,748,85.3,400,509,78.6,155,277,56.0,7,13.0,8.3,-6.0,91,119,67,8,208,Matches,507c7bdf
167,Enzo Fernández,ar ARG,MF,Chelsea,22-101,2001,11.4,846,964,87.8,16042,4656,345,378,91.3,357,397,89.9,126,154,81.8,2,1.5,1.5,+0.5,13,112,12,0,112,Matches,5ff4ab71
168,Roberto Firmino,br BRA,FWMF,Liverpool,31-208,1991,12.6,426,540,78.9,5731,1847,263,307,85.7,119,148,80.4,18,26,69.2,4,2.3,1.9,+1.7,20,45,18,1,76,Matches,4c370d81
169,Junior Firpo,es ESP,DF,Leeds United,26-249,1996,12.9,414,555,74.6,6468,2866,212,252,84.1,180,226,79.6,17,46,37.0,1,0.8,0.7,+0.2,8,35,7,3,48,Matches,24f59bb2
170,Phil Foden,eng ENG,FW,Manchester City,22-335,2000,15.7,680,850,80.0,10411,1870,389,431,90.3,220,261,84.3,43,89,48.3,6,3.3,3.5,+2.7,34,28,26,8,63,Matches,ed1e53f3
171,Datro Fofana,ci CIV,FW,Chelsea,20-127,2002,0.7,4,6,66.7,53,28,2,3,66.7,2,2,100.0,0,0,,0,0.1,0.1,-0.1,2,0,1,0,1,Matches,e82900ef
172,Wesley Fofana,fr FRA,DF,Leicester City,22-132,2000,2.0,117,140,83.6,1995,559,44,44,100.0,64,74,86.5,6,13,46.2,0,0.0,0.0,0.0,0,16,0,0,6,Matches,132a82f1
173,Wesley Fofana,fr FRA,DF,Chelsea,22-132,2000,9.7,570,642,88.8,9255,2306,268,285,94.0,276,302,91.4,17,37,45.9,0,0.0,0.3,0.0,1,43,2,0,36,Matches,132a82f1
174,Pablo Fornals,es ESP,FWMF,West Ham,27-065,1996,12.5,420,585,71.8,7177,2094,201,232,86.6,152,202,75.2,50,100,50.0,1,1.5,1.8,-0.5,14,45,8,4,58,Matches,82927de4
175,Adam Forshaw,eng ENG,MF,Leeds United,31-202,1991,2.0,63,75,84.0,897,345,40,42,95.2,10,12,83.3,7,14,50.0,0,0.5,0.2,-0.5,2,8,0,0,9,Matches,9f1938ab
176,Fraser Forster,eng ENG,GK,Tottenham,35-042,1988,8.5,169,210,80.5,3859,2436,49,49,100.0,85,85,100.0,34,73,46.6,0,0.0,0.0,0.0,0,1,0,0,0,Matches,c3e39f12
177,Tyrese Francois,au AUS,FW,Fulham,22-286,2000,0.0,2,2,100.0,12,2,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,1,0,0,0,Matches,6722d4f0
178,Ryan Fraser,sct SCO,FW,Newcastle Utd,29-063,1994,3.5,85,122,69.7,1228,289,50,59,84.7,28,41,68.3,3,8,37.5,0,0.4,0.3,-0.4,5,4,4,1,9,Matches,d56543a0
179,Fred,br BRA,MF,Manchester Utd,30-054,1993,11.7,525,670,78.4,8081,2257,287,334,85.9,168,201,83.6,43,70,61.4,1,2.0,1.1,-1.0,22,49,8,2,61,Matches,b853e0ad
180,Ryan Fredericks,eng ENG,DF,Bournemouth,30-200,1992,5.9,149,220,67.7,2139,735,85,96,88.5,55,88,62.5,4,15,26.7,0,0.1,0.3,-0.1,1,5,6,1,15,Matches,c067631c
181,Remo Freuler,ch SUI,MF,Nott'ham Forest,31-013,1992,24.0,664,836,79.4,9828,3216,371,429,86.5,238,285,83.5,30,66,45.5,0,0.8,0.7,-0.8,12,47,6,3,54,Matches,98d2c2c4
182,Cody Gakpo,nl NED,FW,Liverpool,23-356,1999,11.7,207,283,73.1,2710,725,121,153,79.1,62,84,73.8,7,14,50.0,1,1.3,0.8,-0.3,15,23,7,1,32,Matches,1971591f
183,Conor Gallagher,eng ENG,MFFW,Chelsea,23-081,2000,13.4,529,667,79.3,7989,1957,292,332,88.0,188,224,83.9,26,51,51.0,1,2.2,1.5,-1.2,20,54,15,5,79,Matches,c2731c10
184,Idrissa Gana Gueye,sn SEN,MF,Everton,33-214,1989,24.2,902,1074,84.0,14521,3780,455,502,90.6,377,423,89.1,52,96,54.2,1,1.1,0.8,-0.1,11,96,5,0,84,Matches,72c812f3
185,Alejandro Garnacho,es ESP,FWMF,Manchester Utd,18-301,2004,5.0,115,143,80.4,1327,143,87,102,85.3,20,21,95.2,2,2,100.0,2,1.0,0.9,+1.0,2,1,1,0,5,Matches,7aa8adfe
186,James Garner,eng ENG,MF,Everton,22-046,2001,4.1,123,167,73.7,1913,503,61,70,87.1,58,69,84.1,2,20,10.0,1,0.1,0.2,+0.9,2,11,1,1,15,Matches,4e015693
187,David de Gea,es ESP,GK,Manchester Utd,32-172,1990,31.0,717,999,71.8,18637,13329,172,172,100.0,325,330,98.5,215,486,44.2,0,0.1,0.2,-0.1,1,6,1,0,0,Matches,7ba6d84e
188,Joe Gelhardt,eng ENG,FW,Leeds United,20-359,2002,2.4,43,67,64.2,518,118,23,30,76.7,11,17,64.7,2,2,100.0,2,0.5,0.4,+1.5,2,3,1,0,6,Matches,01962d0d
189,Saman Ghoddos,ir IRN,MFDF,Brentford,29-234,1993,1.3,48,66,72.7,773,265,27,30,90.0,16,20,80.0,5,15,33.3,0,0.3,0.3,-0.3,2,3,1,0,6,Matches,f7b1d4e0
190,Morgan Gibbs-White,eng ENG,FWMF,Wolves,23-091,2000,2.0,75,95,78.9,1122,345,47,58,81.0,17,21,81.0,7,9,77.8,0,0.1,0.2,-0.1,1,10,1,0,12,Matches,32f60ed8
191,Morgan Gibbs-White,eng ENG,MFFW,Nott'ham Forest,23-091,2000,28.0,583,948,61.5,9403,3435,309,410,75.4,179,256,69.9,69,196,35.2,6,7.3,5.7,-1.3,59,65,36,5,120,Matches,32f60ed8
192,Billy Gilmour,sct SCO,MF,Brighton,21-321,2001,1.8,142,154,92.2,2460,520,63,67,94.0,64,67,95.5,13,16,81.3,0,0.1,0.4,-0.1,1,10,4,0,17,Matches,df10e27c
193,Degnand Gnonto,it ITA,FWMF,Leeds United,19-174,2003,12.4,303,427,71.0,3908,1073,188,224,83.9,85,113,75.2,8,16,50.0,3,1.5,1.8,+1.5,18,12,15,3,30,Matches,75fdd638
194,Ben Godfrey,eng ENG,DF,Everton,25-103,1998,8.9,182,281,64.8,3066,1257,91,112,81.3,72,109,66.1,16,42,38.1,1,0.2,0.1,+0.8,3,24,1,1,18,Matches,9f7c837d
195,João Gomes,br BRA,MFFW,Wolves,22-075,2001,4.8,170,223,76.2,2472,564,99,115,86.1,57,79,72.2,8,16,50.0,0,0.1,0.1,-0.1,4,10,0,0,13,Matches,8b57ad2c
196,Toti Gomes,pt POR,DF,Wolves,24-102,1999,7.5,319,389,82.0,5447,1954,146,171,85.4,148,165,89.7,21,44,47.7,0,0.2,0.2,-0.2,3,20,6,2,21,Matches,f0caab96
197,Joe Gomez,eng ENG,DF,Liverpool,25-340,1997,15.3,1086,1275,85.2,21777,7062,311,352,88.4,640,697,91.8,118,187,63.1,0,0.2,0.7,-0.2,1,116,4,0,103,Matches,7a11550b
198,Sergio Gómez,es ESP,DFMF,Manchester City,22-236,2000,1.9,133,153,86.9,1991,557,71,77,92.2,49,54,90.7,7,10,70.0,1,0.4,0.2,+0.6,2,13,2,0,10,Matches,01e5f06e
199,Anthony Gordon,eng ENG,FWMF,Newcastle Utd,22-063,2001,3.8,117,139,84.2,1579,427,78,83,94.0,31,35,88.6,4,9,44.4,0,0.8,0.6,-0.8,5,11,3,0,13,Matches,2bd83368
200,Anthony Gordon,eng ENG,FW,Everton,22-063,2001,12.2,193,280,68.9,2905,625,110,135,81.5,66,89,74.2,11,27,40.7,0,0.6,0.5,-0.6,8,8,11,2,19,Matches,2bd83368
201,Demarai Gray,eng ENG,FWMF,Everton,26-304,1996,26.2,549,795,69.1,9298,2061,272,307,88.6,187,247,75.7,66,168,39.3,1,3.7,3.7,-2.7,35,30,17,6,45,Matches,4468ec10
202,Jack Grealish,eng ENG,FW,Manchester City,27-230,1995,20.7,816,971,84.0,11872,2222,494,538,91.8,261,300,87.0,36,59,61.0,6,6.1,5.6,-0.1,45,24,38,0,88,Matches,b0b4fd3e
203,Sam Greenwood,eng ENG,MFFW,Leeds United,21-092,2002,3.8,99,162,61.1,1809,803,52,60,86.7,26,49,53.1,19,48,39.6,2,1.1,1.0,+0.9,13,13,1,0,13,Matches,f3354c07
204,Pascal Groß,de GER,MFDF,Brighton,31-317,1991,29.2,1509,1909,79.0,24338,7083,781,861,90.7,560,669,83.7,118,263,44.9,6,9.0,7.1,-3.0,66,121,57,10,209,Matches,8aec0537
205,Vicente Guaita,es ESP,GK,Crystal Palace,36-108,1987,27.0,610,845,72.2,15748,10443,159,161,98.8,258,263,98.1,182,405,44.9,0,0.0,0.0,0.0,0,3,0,0,1,Matches,ab13a5aa
206,Gonçalo Guedes,pt POR,FWMF,Wolves,26-150,1996,7.9,138,201,68.7,2297,526,82,97,84.5,40,56,71.4,13,26,50.0,1,0.5,0.5,+0.5,9,11,8,2,16,Matches,e6bc67d7
207,Marc Guéhi,eng ENG,DF,Crystal Palace,22-289,2000,32.0,1571,1844,85.2,31861,12159,490,535,91.6,899,968,92.9,174,314,55.4,0,0.3,0.5,-0.3,7,121,2,0,92,Matches,d0706b27
208,Bruno Guimarães,br BRA,MF,Newcastle Utd,25-163,1997,24.3,1085,1311,82.8,18946,5325,515,578,89.1,410,475,86.3,124,173,71.7,5,3.6,2.8,+1.4,33,110,38,2,166,Matches,82518f62
209,İlkay Gündoğan,de GER,MF,Manchester City,32-186,1990,22.3,1040,1210,86.0,16211,3760,560,623,89.9,372,412,90.3,75,100,75.0,3,3.0,3.5,0.0,34,108,32,1,140,Matches,819b3158
210,Darko Gyabi,eng ENG,FW,Leeds United,19-069,2004,0.1,4,4,100.0,72,17,1,1,100.0,3,3,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,2,Matches,56d838f7
211,Erling Haaland,no NOR,FW,Manchester City,22-281,2000,25.7,296,409,72.4,3694,784,180,227,79.3,84,114,73.7,6,8,75.0,7,4.3,2.8,+2.7,23,13,18,0,49,Matches,1f44ac21
212,Lewis Hall,eng ENG,DFMF,Chelsea,18-232,2004,3.4,147,195,75.4,2592,748,79,92,85.9,52,68,76.5,16,26,61.5,0,0.3,0.2,-0.3,4,10,3,1,9,Matches,da011f18
213,Luke Harris,wls WAL,MFFW,Fulham,18-025,2005,0.1,13,14,92.9,172,25,9,9,100.0,4,5,80.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,1,Matches,8c3078cd
214,Jack Harrison,eng ENG,FWMF,Leeds United,26-159,1996,26.0,626,998,62.7,9019,3435,380,474,80.2,159,270,58.9,48,140,34.3,7,4.7,4.2,+2.3,48,46,40,15,85,Matches,aa849a12
215,Kai Havertz,de GER,FWMF,Chelsea,23-321,1999,24.6,608,756,80.4,7648,1532,388,464,83.6,158,179,88.3,18,25,72.0,1,3.4,2.5,-2.4,35,41,23,2,73,Matches,fed7cb61
216,Jan Paul van Hecke,nl NED,DF,Brighton,22-324,2000,1.0,96,101,95.0,1944,477,21,22,95.5,70,72,97.2,5,6,83.3,0,0.0,0.0,0.0,0,13,0,0,10,Matches,4fd08daa
217,Hwang Hee-chan,kr KOR,FWMF,Wolves,27-092,1996,9.8,161,216,74.5,2308,526,94,114,82.5,52,65,80.0,8,12,66.7,1,1.0,0.5,0.0,9,8,7,1,23,Matches,169fd162
218,Dean Henderson,eng ENG,GK,Nott'ham Forest,26-047,1997,18.0,425,671,63.3,12543,8838,80,80,100.0,186,188,98.9,159,400,39.8,0,0.0,0.0,0.0,0,11,1,0,0,Matches,e5a76dfe
219,Jordan Henderson,eng ENG,MF,Liverpool,32-315,1990,19.6,1141,1375,83.0,18957,5071,574,629,91.3,433,505,85.7,101,165,61.2,2,2.7,3.1,-0.7,24,134,38,8,158,Matches,935e6b8f
220,Wayne Hennessey,wls WAL,GK,Nott'ham Forest,36-094,1987,2.0,45,56,80.4,1510,1133,3,3,100.0,22,22,100.0,20,31,64.5,0,0.0,0.0,0.0,0,2,0,0,0,Matches,76eca7e2
221,Rico Henry,eng ENG,DF,Brentford,25-294,1997,31.5,723,1011,71.5,11547,4081,388,455,85.3,253,344,73.5,61,143,42.7,2,2.5,2.6,-0.5,21,63,34,12,93,Matches,8a3c1dc7
222,Son Heung-min,kr KOR,MFFW,Tottenham,30-294,1992,27.3,578,786,73.5,7860,2222,351,408,86.0,160,214,74.8,30,81,37.0,4,5.5,3.8,-1.5,54,29,28,4,71,Matches,92e7e919
223,Aaron Hickey,sct SCO,DF,Brentford,20-322,2002,16.6,511,623,82.0,7901,2422,281,313,89.8,193,229,84.3,28,54,51.9,0,0.2,0.4,-0.2,2,48,8,3,63,Matches,1780bb4a
224,Joseph Hodge,ie IRL,MF,Wolves,20-226,2002,1.9,69,87,79.3,1067,354,41,45,91.1,19,22,86.4,5,7,71.4,0,0.1,0.0,-0.1,1,7,1,0,7,Matches,bd8a5d95
225,Rob Holding,eng ENG,DF,Arsenal,27-220,1995,6.2,379,438,86.5,7450,2672,140,151,92.7,189,204,92.6,46,69,66.7,0,0.0,0.1,0.0,0,23,1,0,24,Matches,d79a8c87
226,Mason Holgate,eng ENG,DF,Everton,26-188,1996,4.9,135,201,67.2,2641,764,50,61,82.0,64,79,81.0,19,52,36.5,0,0.3,0.2,-0.3,5,11,2,1,12,Matches,d0042ab9
227,Will Hughes,eng ENG,MF,Crystal Palace,28-011,1995,6.3,205,267,76.8,2887,891,123,141,87.2,66,86,76.7,10,22,45.5,1,0.9,0.5,+0.1,5,19,5,0,22,Matches,a0666d3e
228,Omari Hutchinson,eng ENG,FW,Chelsea,19-180,2003,0.3,8,12,66.7,109,4,6,7,85.7,1,1,100.0,1,2,50.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches,bd9553e6
229,Pierre Højbjerg,dk DEN,MF,Tottenham,27-266,1995,31.8,1890,2135,88.5,34141,9228,834,902,92.5,766,839,91.3,228,291,78.4,5,2.8,3.1,+2.2,29,200,33,5,226,Matches,8b04d6c1
230,Kelechi Iheanacho,ng NGA,FWMF,Leicester City,26-207,1996,11.2,200,278,71.9,2629,562,135,167,80.8,43,55,78.2,10,21,47.6,4,3.5,1.7,+0.5,18,18,8,0,24,Matches,c92e1a31
231,Danny Ings,eng ENG,FW,West Ham,30-279,1992,5.9,53,85,62.4,639,176,34,50,68.0,8,13,61.5,3,9,33.3,0,0.2,0.2,-0.2,2,7,0,0,6,Matches,07802f7f
232,Danny Ings,eng ENG,FW,Aston Villa,30-279,1992,9.2,114,162,70.4,1371,289,76,97,78.4,27,34,79.4,3,12,25.0,0,1.2,0.6,-1.2,9,7,4,0,12,Matches,07802f7f
233,Alexander Isak,se SWE,FW,Newcastle Utd,23-219,1999,11.0,151,206,73.3,2197,484,84,111,75.7,43,55,78.2,12,14,85.7,0,0.9,0.6,-0.9,11,17,6,0,21,Matches,8e92be30
234,Daniel Iversen,dk DEN,GK,Leicester City,25-283,1997,7.0,126,221,57.0,3061,2120,41,41,100.0,57,58,98.3,27,119,22.7,0,0.0,0.0,0.0,0,4,0,0,0,Matches,10d221cd
235,Alex Iwobi,ng NGA,MFFW,Everton,26-360,1996,32.5,1024,1357,75.5,17984,5707,487,577,84.4,383,483,79.3,121,195,62.1,6,4.7,3.6,+1.3,57,121,52,14,167,Matches,6ca5ec4b
236,Daniel James,wls WAL,FW,Leeds United,25-169,1997,2.2,24,40,60.0,256,66,18,22,81.8,5,10,50.0,0,3,0.0,0,0.3,0.3,-0.3,1,1,3,1,3,Matches,c931d9f9
237,Daniel James,wls WAL,FW,Fulham,25-169,1997,6.5,110,175,62.9,1420,289,74,91,81.3,25,41,61.0,3,12,25.0,1,0.6,0.3,+0.4,6,2,6,1,15,Matches,c931d9f9
